op_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
223,0,1.827,0.577,0.021,0.597,0,0.086,0.188,0.874,3.001,1.037,0.076,0.934,0,0.313,0.03,0.378,0.247,1.292,0.407,0.407,0.623,2.246,0.281,0.577,0.655,1.226,1.933,2.269,0.508,2.141,0.199,0.953,2.216,0.057,0.312,0.158,0.229,0,2.548
224,5.18,0.013,0.653,0.006,0.008,0,0.005,1.187,0.006,1.49,0.205,0.492,0.461,6.122,0.222,0.037,0.246,0.142,0.738,0.314,0.015,0.089,0,0.15,0.109,0.118,0.327,0.75,0.181,0.201,1.274,0.822,0.331,2.446,0.022,0.605,0.341,0.321,6.462,0
225,2.023,1.296,0.038,0.006,0.079,0,0.607,0.265,0.113,0.332,0.046,0.874,0.198,2.078,0.63,0.299,0.061,0.243,0.751,0.126,0.129,0.206,0,0.262,0.033,0.222,0.156,0.093,0.131,0.095,0.541,0.023,0.093,0.13,0.388,0.712,0.08,0.079,2.026,2.85
226,0.222,0.844,0.096,0.292,0.395,3.935,0.01,0.007,1.019,0.098,0.188,0.42,0.059,0.214,1.872,0.033,0.418,0.333,1.397,0.014,0.029,0.1,3.922,0,0.016,0.007,0.037,0.21,0.02,0.759,0.165,0.016,0.47,0.087,0.694,0.253,0.057,0.039,0.376,1.015
227,1.894,0.006,0.16,0.042,0.266,1.043,0,0.85,0.532,0.37,0.008,0,0.548,0.667,0,0.388,0.225,0.498,0.242,1.076,0.482,0.095,0,0,0.292,0.254,0.502,0.556,0.14,0.148,0.532,0.006,0.171,0.547,0.391,0.043,0.11,0.006,1.334,2.19
228,0.038,0.576,0.078,0.053,0.006,1.611,1.058,0.019,0.488,0.095,0.115,0,0.395,3.301,0,0.367,0.164,0.08,0.105,0.735,0.053,0.057,2.147,0,0.087,0.008,0.054,0,0.03,0.113,0.138,2.65,0.305,0.437,0.23,0.556,0.06,0.373,0.713,0.005
229,0.131,0.815,0.011,1.275,0.571,0.269,0.377,0.279,0.286,0.129,0.036,0,0.21,0.243,0,0.296,0.367,0.25,0.036,0.144,0.248,0.268,1.11,5.057,0.58,0.711,0.605,1.755,0.716,0.007,1.454,0,0.14,0.349,0.02,0.369,0.292,0.418,0.9,0.626
230,0.293,0.765,1.02,0.26,0.086,0.497,0.004,0.699,0.468,0.131,0.333,0,0.264,0.02,0,1.245,0.026,0.4,0.006,0.114,0.578,0.243,0.579,0,0.469,0.18,0.143,1.013,0.455,0.007,0.191,3.964,0.04,0.549,1.741,0.099,0.204,0.005,0.323,0
231,0.093,0.009,0.566,0.004,0.157,0.716,0.425,0.83,0.464,0.016,0.032,0,0.098,0.008,5.456,1.84,0.999,0.089,0.016,0.644,0.004,0.003,1.59,0,0.328,0.405,0.253,0,0.005,0.374,0.958,0,0.378,0.289,0.009,0.003,0.604,0.211,1.812,0.231
232,0.004,0.769,0,1.342,0.075,0.092,0.788,0.006,0.406,0.005,0.003,2.494,0.005,0.122,0.42,0.194,0.527,0.258,1.049,0.553,0.25,0.176,1.187,6.261,0.172,1.592,0.41,0,0.397,0.008,0.005,5.253,0.026,0.003,0.257,0.005,0.002,0,0.0,0.143
233,0.552,1.006,1.122,2.037,0.003,0.329,0.461,0.437,0.006,0.108,0.006,0.312,0.367,0.314,1.313,0.059,1.098,0.498,0.048,1.327,0.005,0.005,0.005,1.424,0.005,0.015,0.008,3.69,0.005,0.125,0.11,3.192,0.029,0.053,0.538,0.95,0.217,0.167,0.087,0.682
234,1.464,0.402,1.014,0.469,0.294,0.011,0.086,2.272,0.431,0.049,0.236,0.003,0.407,0.71,1.66,1.198,0.114,0.403,0.04,0,0.496,0.47,1.275,0.22,0.005,0.018,0.338,1.12,1.334,0.005,0.755,0.601,0.005,1.16,0.004,0.049,0,0.838,0.531,0.039
235,0.025,0.011,0.139,0,0.006,0.004,1.168,1.838,0.045,0.571,0.177,1.291,0.167,0.021,0.27,0.33,0,0.137,0.336,1.28,0.309,0.004,0.016,0.792,0,0.014,0.006,0.069,0.766,0.368,0.476,0.877,0,0.176,0.808,0.014,2.862,0.052,0.059,1.0
236,0.037,0.002,0.017,0,0.007,0.159,0.346,0,0.513,0.065,0.081,0.006,0,0.009,0.005,0.007,0,0.008,0.64,0.348,0.003,0.002,0.696,0.182,0,0.901,1.209,0.226,1.197,0.328,0.178,0.001,4.681,0.036,0.18,0.007,0.728,0.02,0.018,0.118
