op_w_rlat,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
170,0.151,0.262,1.257,0,0.006,0.29,0.16,0,0.165,0.272,0.005,0.483,0,0.089,0.141,0.28,0,0.193,0.264,0.187,0,1.069,0.188,1.703,0,0.725,0.205,1.3,3.241,0.315,0.08,0.188,0,0.187,0.162,0.006,1.246,0.329,0.367,0.092
171,0.253,0.82,1.365,0,0.004,0.279,1.69,6.679,0.004,0.259,1.077,0.255,0,0.955,0.004,1.834,0,0.869,0.788,0.888,1.981,0.343,0.766,1.08,4.338,0.22,0.577,1.261,3.04,0.11,0.518,3.487,0,0.82,0.978,1.027,0.234,1.898,0.728,0.573
172,0.593,0.296,0.817,0,0.25,0.119,0.561,0,1.912,0.915,0.39,0.392,0,0.245,0.333,2.107,4.835,0.11,0.296,0.565,0.336,0.93,0.134,0.297,1.221,0.575,0.414,1.478,0.663,0.131,0.597,0.185,1.596,0.611,0.039,0.424,0.393,0.766,0.244,0.57
173,0.142,0.054,0.008,1.178,0.049,0.164,0.102,2.596,0,0.121,0.182,0.243,6.028,0.707,0.175,1.587,0,0.742,0.689,0.573,0.007,0.507,0.81,3.559,0.837,0.145,0.507,0.076,0.209,0.009,0.008,0.615,0.453,0.972,0.585,1.38,0.345,5.197,0.382,0.219
174,0.004,1.078,0.294,1.339,0.006,0.005,0.192,1.118,0,0.208,0.006,0.024,0,0.005,0.009,0.004,0,0.006,0.009,0.005,0.755,1.528,1.346,3.961,1.356,0.003,0.004,1.085,3.279,0.004,0.017,0.042,0.004,0,0.154,0.004,0.082,3.807,0.227,0.122
175,0.195,1.039,0.452,1.067,0.006,0.006,2.14,4.867,0,2.836,0.005,0.008,0,0.01,0.003,0.004,0,0.006,0.009,0.005,0.531,2.026,0.384,1.222,1.185,0.469,0.356,0.527,0.311,0.516,0.004,6.275,1.94,0,0.894,0.225,1.567,0,1.464,0.003
176,0.598,0.122,0.283,0.601,0.369,0.36,0.544,2.529,7.972,0.434,0.323,0.557,2.652,0.084,0.135,0.447,1.948,0.577,0.166,0.295,0.158,0,0.416,0.442,1.026,0.304,0.707,0.288,0.012,3.154,0.142,0.494,0.533,3.934,0.196,0.269,0.554,3.057,0.354,0.369
177,0.208,0.034,0.062,0.338,3.411,0.108,0.026,0.674,2.153,0.036,0.603,0.253,1.452,1.583,0.226,0.021,0.385,0,0.239,0.337,0.195,0,0.004,0.351,0.067,0,0.131,0.27,0.385,0,0.272,0.139,0.019,3.153,0.158,0.882,0.006,0.828,0.043,0.374
178,0.004,0.004,0.297,0.103,0,0.004,0.452,0.292,0.033,0.161,0.019,0.005,0.017,0,0.005,0.026,0.006,1.33,0.004,0.013,0.447,4.377,0.311,0.012,0.003,0.155,0.005,0.3,0.006,5.706,0.004,0.206,0.004,0,0.004,0.268,0.435,1.266,0.275,0.004
179,2.722,0.394,0.418,0.654,0,0.009,0.429,0.492,0.794,1.06,0.009,0.931,2.801,0,1.722,0.007,0.594,1.114,0.789,1.1,0.006,0,0.007,0.58,0.882,0.007,1.123,0.324,0.006,0,0.524,0.416,0.675,5.013,0.743,1.249,0.797,1.5,0.526,0.381
180,0,2.044,1.202,0.005,0,0.003,0.006,0.004,0.007,0.007,0.004,0.905,1.065,0,1.854,1.214,2.43,1.235,0.913,0.317,0.32,0.826,0.102,0.295,0.591,0.135,0.218,0.377,0.142,0,1.127,0.764,1.657,5.994,1.342,0.177,1.709,2.856,2.832,0.252
181,0,0.008,0.218,0.135,2.018,0.015,0.869,0.225,0.967,0.553,0.172,0.669,0.767,0,0.763,0.344,0.414,0.878,0.62,0.479,0.05,0.399,0.06,0.006,0.027,0,0.01,0.026,0.013,3.951,0.12,0.137,0.93,3.453,1.282,0.362,0.695,0.813,0,0.08
182,0,0.067,0.427,0.06,1.048,0.004,0.097,0.049,2.49,0,0.346,0.725,0.146,3.531,0.924,0.215,1.225,0.329,0.652,1.699,0.5,0.482,1.334,0.621,0.674,0.785,0.71,1.378,0.957,1.271,0,0.005,0.287,0.94,0,0.192,1.22,0.123,0,0.059
183,0,1.341,0.388,0.008,0.088,2.519,0.401,0.177,1.509,3.029,0.29,0.009,0.055,2.208,0.019,0.011,0.01,0.005,0.072,0.032,0.409,0.008,4.974,0.102,0.293,0.563,0,0.007,0.297,1.961,4.316,0.412,0.326,1.054,0,0.082,0.29,0.01,0,0.028
184,6.763,0.005,0.005,0.006,0.005,0,0.006,0.005,0.004,2.7,0,0.11,0.188,1.853,0.265,0.174,0.079,0.004,0.685,0.187,0.003,0.004,0,0.003,0.003,0.003,0,0.004,3.783,0,0,0.005,0.165,0.245,0,0.12,0.267,0.811,0,0.004
185,0,0,0.003,0,0.004,0,0,0.004,0.003,0,0,0.003,0.011,0.387,0,0.004,0,0.003,0.004,0.759,0.87,1.581,4.757,0.1,0.634,0.707,0,2.256,1.213,3.042,0,0.003,0.372,0,0,0.003,0,0.396,0,0.003
186,2.984,1.079,1.394,0.446,2.074,4.085,0.191,0.32,1.198,0.715,3.956,1.14,1.401,2.084,4.016,0.681,0.189,1.168,2.374,0.519,0.069,0.169,5.92,0.057,0.618,0.407,0,0.41,1.766,1.941,1.658,0.006,0.302,1.938,5.871,1.153,0.006,0.509,9.319,0.062
187,1.511,3.982,0.087,0.371,3.641,0,1.485,1.065,1.351,0.485,0,0.263,0.005,0.42,0,0.509,1.134,0.212,0,0.049,0.21,0.125,0,0.233,0.185,0.19,6.713,0.339,0.231,0.158,0.004,0.004,0.023,0.006,2.656,0,0.005,0.004,5.71,0.013
188,0.241,0.258,0.163,0.407,0.116,1.277,0,0.102,0.226,0.197,5.628,0.004,0.192,0.23,0,0.199,0.054,0.005,4.616,0.335,0.149,0.321,0,0.707,0.447,0.485,1.731,0.317,0.458,0.103,1.753,0.385,0.6,0.499,0.972,0,0.311,0.28,2.067,0
189,1.717,1.009,0.163,0.372,0.46,1.926,0,0.238,0.71,0.896,0.846,0.143,0.222,0.154,5.363,0.403,0.464,0.175,0,0.988,0.005,1.008,6.19,2.35,0.006,0.005,0.638,1.962,0.006,0.547,1.013,0.592,0.47,0.162,0.04,0,0.655,0.834,1.825,0
190,0.246,0.432,0.006,0.103,1.144,1.09,0,1.193,1.39,0.746,0.155,0.999,0.354,0.643,0,0.006,1.119,0.371,0,3.559,0.006,0.004,0.318,0,0.006,0.004,0.004,0,0.005,0.006,0.689,0.005,0.689,0.005,0.006,0,0.494,0.005,2.53,1.97
191,0.003,0,0,0,0.009,0.009,0,0.008,0.009,0.014,0.004,0,0,0.003,0,0.005,0.007,0.005,0,0,0.743,0.898,1.314,4.771,0.595,0.547,1.408,0,1.083,0.303,4.077,0,0,0,0,0,0,0,0.005,0.004
192,0.802,2.181,2.011,0.679,0.899,1.625,1.636,0.613,0.622,0.876,1.445,1.98,0.487,0.332,2.959,0.605,0.204,0.567,0,0,0.032,1.003,0.957,0,1.035,0.352,1.38,5.915,0.392,0.62,1.499,3.625,0.91,0.495,0.319,2.237,1.563,0.205,0.902,1.033
193,1.311,1.196,0,0.006,1.519,0.595,1.08,0.881,0.007,0.672,0.009,0,0.006,0.006,0.01,0.011,0.007,0.006,3.372,0,0.608,0.003,0.527,0,0.005,0.356,0.836,0,0.006,0.563,0.003,0,0.076,0.188,0.065,0.005,0,0.009,0.007,0.157
194,0.324,0.834,0,0.826,0.403,0.005,0.219,0.006,0.283,0.006,0.004,0,0.333,0.288,1.725,1.62,0.286,0.444,0.003,0,1.843,0.005,0.2,0,0.937,0.005,1.217,0,0.003,0.266,0.004,1.141,0.005,0.006,0.003,0.017,0,0.01,0.006,0.004
195,0.007,0.573,6.712,1.31,0.004,0.401,0.947,1.902,0.003,0.822,1.098,0,0.823,0.003,0.286,0.559,1.452,1.047,0.004,0,0.641,0.536,2.166,8.749,1.508,0.031,0.415,7.755,1.477,0.589,1.107,0.753,0.003,1.215,1.445,0.004,0,0.005,0.861,0.44
196,0.443,0.198,0,1.78,0.379,1.22,0.804,1.959,1.373,0.614,0.678,2.11,1.299,0.344,2.551,1.603,1.298,1.03,2.55,5.506,0,0.263,0.368,1.916,0,0.473,0.204,0,0.035,0.304,0.772,0.57,2.662,0.589,0.581,0.919,4.963,0.745,0.579,1.583
197,0.707,0.174,2.143,0.713,0.008,0.041,0.276,0.132,0.017,0.169,0.516,0.285,1.473,0.656,1.155,0.743,1.022,0.527,1.663,1.567,0,0.518,0.075,0.201,0,0.145,0.008,5.738,0,0.005,0.086,0.044,0,0.432,0.153,0.037,0.583,0.185,0.355,0.028
198,0.005,0.051,0.438,2.013,0.312,0.34,0.346,0,0.247,0.299,0.004,0.057,1.317,0.005,0.227,0.73,2.087,0.225,0.392,0.822,0,0.005,0.004,0.019,0,0.005,0.004,0.652,0,0.021,0.093,0.005,0,0.249,0.151,0.004,1.54,0.101,0.153,0.216
199,0.005,0.058,0.132,0,0.102,0.045,0.004,0,0.005,0.04,0.11,0.005,1.686,0.005,0.063,0.052,0,0.005,0.094,0.005,5.371,0.767,0.005,0.005,0,0.26,0.005,0.978,0,0.005,0.076,1.363,0,0,0,0,0,0,0.005,0.003
200,0.851,0.323,1.473,0,0.84,0.005,1.034,3.797,1.691,0.935,0.005,0.347,2.671,0.306,0.221,1.346,0,0.283,0.47,1.359,1.348,0.823,0.893,0.446,5.322,0.424,0.901,2.127,4.272,0.322,0.494,0.102,7.457,0.007,0.245,0.822,0.661,1.533,0.326,0.926
201,1.609,0.817,2.464,3.524,0.663,0.9,0.873,1.611,1.685,0.898,0.318,0.521,4.187,0.565,0.511,0.424,0,0.545,0.679,1.929,0.186,0.162,0.079,0.283,3.933,0.221,0.061,0.139,5.873,0.058,0.063,0.662,1.465,1.616,0.568,0.595,0.782,0,0.324,0.823
202,0.098,0.16,0.357,1.743,0.035,0.43,0.794,0.572,5.702,0.763,0.707,0.194,0.661,0.349,0.042,0.306,0.962,0.117,0.384,0.155,0.009,0,0.009,0.009,0.696,0.022,0.008,0.014,1.157,0.089,0.59,0.096,0.72,5.035,0.329,0.199,0.214,0,0.138,0.407
203,0.01,0.03,0.01,0.349,0,0.01,0.059,0.012,0,0.038,0.015,0.005,0.24,0.015,0.031,0.02,0.007,0.019,0.025,0.01,0.365,0,1.637,1.221,2.103,0,0.572,1.994,1.817,2.576,0.009,0.005,0.01,4.342,0.015,0.007,0.012,0,0.008,0.031
204,0.007,0.011,0.009,0.007,0,0.009,0.012,0.006,0,0.009,1.123,1.429,0.711,1.537,0.834,3.062,1.902,0,1.262,0,0.007,0,0.158,0.283,0.586,0.309,0.006,0.13,0.315,3.205,0.472,0.349,0.137,0,0.267,0.641,0.257,0,0.215,0.36
205,0.019,0.059,0.254,0.529,0,0.187,0.004,0.167,1.991,0.048,0.065,0.57,0.007,0.23,0.086,0.095,0.792,0.31,0.018,0.256,2.365,0,0.008,1.909,4.803,2.199,1.948,2.078,1.749,4.917,0.133,0.004,0.087,0,0.005,0.274,0.167,0,0.075,0.008
206,2.991,0.009,0.774,2.491,0,2.52,2.267,3.559,0.46,1.113,0.003,0.167,0.006,0,0.469,0.004,0.12,0.005,0.306,0.218,1.75,0,0.283,0.506,2.022,0.757,0.496,0.483,1.591,4.849,0.007,0.009,0.076,0,0.008,0.012,0.009,8.031,0.008,0.008
207,0.048,0.004,0.2,1.426,0,1.11,0.042,1.08,0.004,0.047,0.954,1.705,0.834,5.019,0.509,0.433,1.41,1.12,0.349,1.195,0.003,0,0.005,0.003,0.008,0,0.003,0.014,0.019,0,0.005,0.004,0.005,5.25,0.005,0.005,0.007,2.286,0,0.004
208,0,0.242,0.522,0.008,0,0.003,0.004,0,1.104,0,0.005,0.901,2.133,0,0.329,0.006,2.14,0.907,0.772,0.265,0.14,0,0.017,0.78,1.561,0.257,1.296,0.016,0.093,5.805,1.706,2.664,1.378,0,1.036,0.949,0.906,3.412,0,0.793
209,0,0.005,0.008,0.191,2.861,0.044,0.398,0.214,0.139,0,0.358,0.566,0.42,6.105,1.423,1.327,0.995,1.039,0.481,0.236,0.015,1.839,0.441,0.059,0.007,0.196,0.302,0.645,0.006,1.675,2.016,0.324,0.009,1.162,0.694,0.571,0.862,0.914,0,0.245
210,4.206,0.376,0.359,0.482,1.878,0,0.465,0.211,0.238,0,0.219,0.428,0.064,0,0.916,0.006,0.119,0.086,1.091,0.317,0.467,0.004,4.188,0.273,0.004,0.003,2.992,1.92,0.003,1.799,0,0.004,0.324,1.429,0.229,0.891,0.266,2.168,0,0.25
211,0,0,0.003,0.005,0.003,0.003,0.003,0.004,0.005,0,0.005,0.459,1.006,0,0.463,0.592,0.534,0.882,3.277,0.666,1.478,1.263,1.253,0.004,0.908,0.899,1.932,0.602,0.363,1.128,0,0.003,0.195,2.388,0.003,2.806,0.003,0.004,0,0.003
212,0,0.009,0.973,0.347,1.472,1.822,0.006,0.318,0.014,3.34,1.45,0.832,1.131,0,0.448,0.101,0.63,0.305,0,0.615,0.507,0.709,5.073,1.398,0.743,0.808,1.361,2.169,2.426,1.835,0,0.241,0.627,2.532,2.761,0.742,0.166,0.242,0,0.707
213,5.479,3.798,0.829,0.025,1.994,6.122,0.322,1.442,1.082,2.096,0.31,0.007,0.708,5.849,0.475,0.258,0.448,0.173,0,0.414,0.014,0.107,0,0.297,0.142,0.138,0.58,0.82,0.19,0.577,1.146,1.048,1.422,2.537,0.956,0.508,0.445,0.361,9.402,0
214,2.06,0,0.055,0.006,0.706,0,0.126,0.361,0.006,0.433,0.076,0.014,0.206,2.237,2.478,0.065,0.289,0.282,1.363,0.152,0.16,0.23,0,0.158,0.04,0.252,0.963,0.127,0.165,0.211,0.655,0.028,0.386,0.156,0.067,1.636,0.093,0.09,1.957,2.548
215,0.302,2.704,0.145,0.006,0.153,0,0.005,0.007,0.141,0.119,1.036,0.093,0.08,0.262,0,0.037,0.064,0.407,0.847,0.019,0.042,0.141,4.593,0.966,0.021,0.008,0,0.273,0.031,0.113,0.257,0.024,0.127,0.104,0.029,1.028,0.067,0.052,0.655,0
216,2.376,0.932,0.276,0.362,0.761,0,0.685,1.037,1.129,0.655,0.007,0.592,0.673,0.912,0,0.048,0.519,0.648,1.14,1.79,0.542,0.124,0,0,0.336,0.26,0.484,0.973,0.155,0.851,0.762,0,0.621,0.619,0.464,1.476,0.156,0.007,1.473,2.741
217,0.047,0,0.113,0.051,0.009,6.047,0.029,0.026,0.692,0.137,0.191,0.873,0.436,3.706,0,0.312,0.253,0.087,2.113,1.406,0.065,0.067,2.008,0,0.12,0.009,0.078,0,0.037,0.216,0.205,4.048,0.211,0.524,0.766,0.061,0.072,0.466,0.827,1.132
218,0.261,0.548,0.01,0.076,0.092,1.112,0,0.481,0.647,0.246,0.044,0.983,0.247,0.315,0,0.526,0.184,0.278,0.339,0.156,0.309,0.345,1.376,0,0.694,0.846,0.806,3.598,0.91,0.146,1.514,0,0.35,0.425,0.428,1.347,0.4,0.475,0.944,2.188
219,0.497,0.977,1.611,1.381,0.525,2.184,0.931,1.075,0.495,0.187,0.566,0,0.272,0.022,0,1.918,0.476,0.427,0.155,0.303,0.775,0.323,0.795,6.652,0.558,0.218,0.171,1.229,0.543,0.007,0.239,5.209,0.174,0.694,0.244,0.175,0.22,0.005,0.336,0.005
220,0.137,1.207,1.151,0.375,0.401,0.557,0.617,1.258,0.797,0.017,0.038,0,0.114,0.008,5.134,0.154,0.03,0.111,0.045,3.77,0.004,0.004,2.647,0,0.544,0.604,0.356,0,0.005,0.004,1.078,0,0.046,0.329,0.022,0.114,0.793,0.239,2.058,0.717
221,0.005,0.009,0,0.004,0.006,0.567,0.004,0.006,0.725,0.007,0.004,0,0.005,0.181,0.386,2.335,1.331,0.309,0.006,0,0.258,0.215,1.228,0,0.218,1.694,0.441,0,0.421,0.406,0.005,5.408,0.564,0.005,1.741,0.003,0,0,0,0
222,0.713,1.074,1.158,1.668,0.766,0.968,0.545,0.866,0.668,0.16,0.006,0,0.488,0.356,1.676,3.355,0.7,0.564,0.023,0,0.005,0.005,0.005,6.032,0.004,0.018,0.007,4.474,0.004,0.009,0.169,4.083,0.037,0.069,0.01,0.005,1.588,0.227,0.14,0.304
223,1.812,1.228,1.126,2.411,0.139,0.164,1.271,3.382,0.006,0.068,0.382,0,0.441,0.8,1.827,1.999,1.249,0.452,1.192,0,1.137,0.553,1.431,1.672,0,0.021,0.463,1.51,2.362,0.157,0.898,0.726,0.066,1.37,0.315,1.081,0,0.976,0.558,0.157
224,0.029,0.46,0.171,1.279,0.212,0.454,0.555,2.824,0.566,0.714,0.235,2.442,0.362,0.021,0.36,0.285,0.237,0.169,0.073,1.807,0.46,0.002,0.017,0.198,0,0.009,0.006,0.076,0,0.005,0.574,0.982,0,0.196,0.624,0.061,3.093,0.062,0.071,0.773
225,0.04,0.009,0.016,0,0.088,0.01,0.087,0,0.06,0.086,0.088,0.399,0,0.007,0.005,0.073,0,0.007,0.042,0.431,0,0.004,0.834,1.974,0,0.901,1.209,0.3,2.394,0.442,0.265,0.004,0,0.045,0.003,0.015,0.761,0.033,0.038,0.062
226,2.225,0,0.752,0,0.003,0.004,2.331,0,0.769,0.004,0.003,0.003,0,1.244,0.358,1.198,0,0.003,0.419,0.003,0.245,0.31,0.438,0.289,3.442,0.368,0.634,1.345,1.178,0.379,0.839,1.516,5.366,1.403,0.888,0.006,1.88,1.343,0.007,1.497
227,0.432,0.297,0.256,4.017,0.402,0.204,0.452,1.516,1.323,0.272,0.354,1.478,3.456,0.745,0.165,0.391,0,0.407,0.699,0.698,0.159,0.57,0.009,0.904,4.315,0.131,0.772,0.006,0.414,0.022,0.087,0.403,1.3,0.457,0.263,0.613,0.56,0.805,0.566,0.152
228,0.115,0.582,0.413,0,0.006,0.296,0.062,1.259,0,0.233,0.049,0.006,0,0.005,0.026,0.009,2.067,0.075,0.315,0.608,0.126,0.072,0.006,0.114,1.426,0.087,0.062,0.26,0.007,0.177,0.106,0.712,0.081,0.96,0.113,0.106,0.645,0,0.51,0.357
229,0.139,0.163,0.006,2.162,0.007,0.009,0.058,0.343,3.219,0.092,0.054,0.935,0,0.324,0.087,0.174,0.678,0.177,0.127,0.67,0.004,0.004,0.004,0.003,0.004,0,0.562,0.02,0.006,1.062,0.025,0.049,0.006,0,0.126,0.267,0.159,0,0.119,0.084
230,0,6.686,0,0,0,0.003,0,0,0,0,0.264,0.911,0,0.004,0.005,0.005,0,0.005,0.004,0.006,0.661,1.86,0.725,1.249,1.671,1.092,0.531,1.387,0.737,0.375,2.141,3.438,2.349,0,2.479,0.006,0.004,0,2.278,6.737
231,0.101,0.443,0.007,0.208,0.005,0.107,0.719,1.47,0,1.056,0.66,0.415,5.173,0.413,0.151,0.277,0.792,0.395,0.008,0.549,0.495,4.29,0.258,0.173,0.761,0.048,0.042,0.036,0.129,1.068,0.254,0.46,1.371,0,0.583,0.383,1.415,4.136,0.737,0.809
232,0.174,0.005,0.089,0.612,0,0.173,0.008,0.399,1.81,0.014,0.051,0.624,0.849,0.083,0.195,0.007,0.423,0,0.005,0.012,1.487,0,0.604,1.194,2.048,0.351,1.151,0.614,0.57,0,0.016,0.004,0.005,5.439,0.006,0.036,0.038,0,0.005,0.006
233,1.25,0.008,0.227,1.534,0,0.266,0.996,0.96,0.807,0.296,0.004,1.069,1.813,2.447,0.814,0.005,2.426,4.352,0.411,1.452,1.001,0,0.005,0.852,2.568,1.915,0.451,2.265,1.139,0,0.393,0.346,0.477,0,0.336,0.424,0.004,0,0.957,0.754
234,2.78,0.005,1.789,2.426,0,2.407,1.82,1.613,0.469,1.77,0.85,1.358,1.922,0,0.21,0.945,2.588,2.525,0.85,0.808,0.038,6.584,0.29,0.184,0.696,1.472,0.483,0.365,0.613,0,0.005,0.005,0.005,0,0.006,0.006,0.005,6.893,0,0.004
235,1.119,0.006,0.006,0.18,0,0.241,0.005,0.309,0.141,0.203,0.043,0.28,1.342,0,0.4,0.014,1.709,3.019,0.153,0.494,0.005,0,0.141,0.744,1.488,0.824,0.899,0.493,1.005,6.967,0.005,0.019,0.173,0,0.292,0.184,0.006,3.308,0,0.005
236,2.101,0.469,0.222,0.367,2.467,0.28,0.363,0.341,0.29,2.085,0.006,0.68,1.278,4.852,1.553,0.779,0.505,1.036,0.326,0.354,0.004,0,0.179,0.003,0.004,0.059,0.004,0.152,0.007,0,1.435,0.723,0.923,0,4.438,0.051,0.169,1.919,0,0.526
237,0.005,0.004,0.048,0.005,0.004,0.004,0,0.004,0.006,0,0.005,0.005,0.208,2.12,0.004,0.004,0.198,0.383,0.004,0.131,1.122,1.83,5.321,0.433,1.656,0.633,0.414,1.571,0.094,1.741,0.003,0.003,0.004,0,0,0.103,0.053,0.003,0,0.003
238,3.626,0.18,0.645,1.295,1.371,1.44,0.006,0.565,0.159,0,0.984,1.26,3.483,0,0.887,0.078,0.986,1.166,0.775,0.974,0.003,0.095,0,0.004,0.003,0.628,0.004,0.003,0.004,0.004,0.262,0.005,0.237,4.239,0,0.175,0.164,0.28,0,0.059
239,0,1.954,0.003,0.004,0.003,0.9,0.004,0.004,0.003,0,0,0.003,0.003,5.128,0.376,0.004,0.119,0.824,0,0.003,1.019,0.946,0,0.252,1.304,0.715,0.227,1.201,0.986,1.65,1.823,0.26,0.613,1.016,0,0.004,0.004,0.005,6.899,0.302
240,1.087,0.698,0.974,0.201,1.75,1.426,0.234,0.663,0.616,0,2.93,0.622,0.283,1.389,0.516,0.468,0.12,0.654,0,0.194,0.745,0.472,0,0.037,0.242,0.337,0,0.261,0.077,1.505,1.538,0.247,0.426,3.764,2.854,0.296,0.191,0.097,0,0.004
241,0.004,0.004,0.05,0.059,0.039,3.323,0.027,0.007,0.021,1.691,1.196,0.136,0.107,0.526,2.482,0.031,0.368,0.026,0,0.695,0.222,0.163,0,0.007,0.036,0.087,3.031,0.306,0.688,1.25,0.413,0.068,0.209,2.103,2.092,0.172,0.904,0.02,0,2.429
242,0.63,2.658,0.098,0.167,1.174,1.104,0.628,0.9,0.365,0.292,0.485,0.135,0.189,0.1,0,0.416,0.185,0.511,0,0.513,0.005,0.938,0,0.692,0.692,0.72,1.323,0.871,0.401,0.87,0.005,0.068,0.205,0.091,2.888,0.933,0.073,0.068,3.584,1.161
243,1.222,0,0.524,0.079,0.834,0,1.673,0.458,0.007,0.473,1.097,0.007,0.008,0.074,0,0.01,0.073,0.06,4.04,0.132,0.235,0.032,2.847,0.267,0.294,0.205,0.275,0.381,0.324,0.042,0.297,0.006,0.802,1.856,0.006,0,0.062,0.112,1.126,0
244,0.158,0,0.158,0.269,1.057,0,0,1.02,1.411,1.82,0.005,0.525,0.726,1.266,5.205,0.004,0.453,0.589,1.419,1.923,1.242,0.323,1.169,0.582,0.569,0.287,0.266,0,0.616,0.964,0.513,0.423,0.935,0.005,0.141,0,0.238,0.097,1.439,4.264
245,0.247,0,0.077,0.077,0.362,3.14,5.157,0.01,0.3,0.009,0.449,0.285,0.682,1.013,0,0.657,0.281,0.241,2.543,1.291,0.608,0.096,2.078,0.351,0.42,0.822,0.543,0,1.214,0.046,0.234,2.138,0.461,0.254,1.53,4.549,0.146,0.177,2.858,6.003
246,0.005,6.988,0.106,0.004,0.003,1.706,0,0.435,0.948,0.057,0.186,0.68,0.209,0.005,0,0.004,0.004,0.004,0.004,0,0.826,0.517,1.96,2.501,0.657,0.353,0.815,0,1.057,0.659,0.514,0,0.004,0.479,0.281,0,0.926,0.256,0.295,1.449
247,0.634,2.042,1.788,0.205,0.242,2.007,0,0.228,0.583,0.772,0.519,3.505,0.005,0.472,4.897,0.528,0.557,0.6,0.479,0,0.005,0.341,0.1,2.663,0.556,0.134,0.339,0,0.356,0.355,0.493,0,0.64,0.521,0.591,1.41,1.343,0.074,2.805,0.648
248,0.184,0.027,0,0.282,0.006,1.178,0.836,0.19,0.005,0.051,0.1,0,0.107,0.431,1.082,0.172,0.166,0.143,0.067,0,0.327,0.224,0.496,0,0.255,0.306,0.398,0,0.005,0.342,0.219,0,0.411,0.213,0.221,0.56,0,0.004,0.432,0.391
249,0.087,0.731,3.438,1.125,0.355,1.125,0.111,0.402,0.359,0.212,0.005,0,0.452,0.532,1.776,0.417,0.634,0.403,0.067,1.014,0,1.045,0.175,0,0.009,0.003,0.003,0,0.004,0.003,0.129,1.978,0.561,0.155,0.13,0.035,2.893,0.258,0.166,0.678
250,0.003,0.003,0,0.899,0.003,0.152,0.003,0.003,0.004,1.908,0.003,6.892,0.004,0.211,0.149,0,0.005,0.003,0.003,0.003,0.567,0.209,0.539,1.151,0.376,0.006,0.187,7.846,1.094,0.006,1.331,0.003,3.527,0.771,0.004,0.003,0,0.004,0.003,0.971
251,0.151,0.606,0,1.849,1.341,1.713,0.253,2.122,1.008,0.985,0.325,2.19,0.981,0.038,2.382,1.393,1.48,1.109,3.043,0.657,5.014,0.103,0.187,0.65,0,0.036,0.183,2.972,1.769,0.275,0.896,0.539,0,0.883,0.848,0.041,0,0.067,0.274,0.334
252,0.004,0.661,0,0,0.005,0.29,0.78,0,0.794,1.053,0.629,0.919,0.427,0.168,1.091,1.182,0.85,0.404,0.006,0.186,0,0.47,0.592,0.298,0,0.694,0.658,1.604,0,0.481,0.005,1.342,0,0.294,0.004,0.005,2.274,0.004,0.276,0.005
253,0.572,0.256,1.962,3.255,0.15,0.222,0.256,2.055,0.229,0.517,0.08,1.033,2.108,0.606,0.463,0.505,2.881,0.552,0.532,0.637,4.844,0.249,0.177,0.044,4.893,0.047,0.3,0.224,0,0.026,0.382,0.319,5.786,0.299,0.235,0.464,0.506,0.49,0.415,0.593
254,0.322,0.337,0.245,0,0.098,0.649,0.758,0.72,0.604,0.53,0.626,0.346,3.34,0.163,0.38,0.322,0,0.164,0.155,0.182,2.699,0,0.005,0.005,0,0.064,0.033,0.004,0,0.006,0.347,0.503,2.546,0.49,0.911,0.677,1.371,0,0.16,0.871
255,0.055,0.059,1.522,0,0.607,0.009,1.323,0.572,0.537,0.362,1.224,0.28,0,0.005,0.479,1.196,0,0.006,0.004,0.89,1.408,0.646,0.007,0.649,0,0.327,0.718,1.197,2.867,0.912,0.006,0.005,3.861,0.717,0.004,0.217,2.159,3.88,0.005,0
