op_process_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
168,0.12,0,0.848,0.299,0.717,0,0.004,0.077,0.385,0.349,1.002,0.679,0.396,0.087,1.048,0.331,0.005,0.123,2.373,0.534,0.165,0.146,0,0.201,0.082,0.042,0,0.143,0.005,0.634,0,0.026,0.006,0.179,0.026,0.004,1.175,0.222,0.111,0.533
169,0.641,0,1.153,0.015,0.308,0,0.455,0.394,0.005,0.089,0,0.194,0.28,0.622,0.726,0.006,0.004,0.502,0,0.009,0.427,0.825,0,0.373,0.589,0.95,0,0.603,0.808,0.948,2.044,0.004,0.323,0.007,0.079,0.25,0.005,0.005,0.006,0.498
170,0.401,3.437,0.441,0.411,0.415,0,0.008,0.314,1.22,0.156,0.801,0.116,0.086,0.349,0,0.41,1.126,0.034,2.26,0.006,0.156,0.498,0,0.006,0.483,0.177,3.623,0.244,0.196,0.432,0.207,0.004,0.722,0.135,0.005,0.281,0.092,0.071,0.082,0
171,0.636,0,0.006,0.005,0.277,0.796,0.063,0.749,0.104,0.868,0.362,0.179,0.18,1.105,0,0.194,0.226,0.862,0.606,1.14,0.005,0.004,5.289,0.548,0.006,0.006,0.062,0.005,0.005,2.319,0.585,0.004,0.458,0.1,0.906,0.552,0.875,0.595,1.612,1.079
172,0.539,0.125,0.356,0.033,0.005,0.504,0.005,0.006,0.981,0.58,0.064,0,0.71,0.732,0,1.151,0.337,0.006,0.777,0.005,0.283,0.043,0.082,0,0.508,0.584,0.356,0.801,0.306,0.149,0.791,0.005,0.924,0.206,0.267,0.327,0.005,0.005,0.163,0.376
173,0.076,0.641,0.04,0.178,0.474,0.49,0.006,0.431,0.802,0.19,0.356,0,0.331,0.517,0,0,0.281,0.635,0.097,0.868,0.086,0.096,0.277,2.866,0.129,0.133,0.101,1.347,0.198,0.027,0.671,0,0.14,0.466,0.102,2.524,0.428,0.287,0.945,0.44
174,0.066,0.571,0.787,0.359,0.004,0.658,0.505,0.529,0.033,0.145,0.007,0,0.117,0.044,0.397,0,0.308,0.121,0.423,0,0.282,0.223,0.357,0.229,0.349,0.328,0.168,2.126,0.409,0.005,1.245,0,0.021,0.228,0.075,0.387,0.368,0.309,0.323,0.004
175,0.257,0.229,1.793,0.135,0.316,1.651,0.498,0.086,0.005,0.239,0.068,0,0.221,0.044,0.123,0,0.576,0.097,0.223,0,0.004,0.132,0.005,0,0.006,0.004,0.003,0,0.005,0.769,0.14,0,0.182,0.323,0.429,0.296,0.004,0.208,0.086,0.69
176,0.752,1.435,2.055,1.362,0.17,0.462,0.004,0.346,0.56,0.005,0.218,0.466,0.319,0.486,0.657,0,0.662,0.006,1.092,0,0.64,0.739,1.26,0,0.494,0.66,1.008,0,0.977,0.331,0.222,6.647,0.14,0.155,0.004,0.115,0.291,0.264,0.356,0.106
177,1.01,1.173,0.097,0.519,0.006,0.925,0.143,0.842,0.007,0.241,0.006,0.286,0.301,0.456,0.668,1.065,0.003,0.767,0.3,0.393,0.005,0.552,0.245,2.744,0.009,0.409,0.124,0,0.007,0.027,0.249,0.613,0.005,0.101,0.605,0.005,0.554,0.194,0.545,0.753
178,0.004,0.64,0.079,0.22,0.004,0.108,0.874,0,0.395,0.008,0.007,0.458,1.312,0.005,0.95,0.28,0.622,0.15,0.341,0.276,0.32,0.254,0.457,0.175,0.134,0.007,0.273,0.874,0.864,0.023,0.563,0.003,0.41,0.008,0.136,0.011,2.758,0.006,0.154,0.021
179,0.006,0.383,0.51,0.126,0.211,0.226,0.125,0,0.007,0.333,0.114,0.213,0.141,0.006,0.779,0.769,0.423,0.207,0.199,0.065,0,0.169,0.087,0.114,0.005,0.198,0.34,0.055,0.004,0.215,0.741,0.476,0.875,0.386,0.123,0.691,0.396,0.122,0.135,0.079
180,0.653,0.177,1.157,0.176,0.037,0.173,1.409,4.397,0.119,0.01,0.075,0.302,0.07,0.209,0.192,1.28,0,0.02,0.752,0.333,0,0.167,0.161,0.637,0,0.178,0.153,0.068,0,0.259,0.405,0.757,0.999,0.262,0.816,0.005,0.597,1.049,0.59,0.516
181,0.073,0.514,0.282,0,0.005,0.097,0.464,0,0.004,0.146,0.004,0.205,1.257,0.083,0.11,1.077,0,0.161,0.215,0.125,0,0.803,0.143,0.475,0,0.652,0.163,0.704,2.805,0.076,0.055,0.153,0,0.13,0.031,0.942,0.487,0.207,0.149,0.442
182,0.233,0.23,0.672,0,0.005,0.117,0.08,5.937,0.379,0.163,0.924,0.022,0,0.728,0.004,0.004,2.814,0.767,0.604,0.701,0.714,0.262,0.48,0.123,3.293,0.191,0.474,0.453,0.061,0.096,0.517,2.616,0.127,0.765,0.552,0.322,0.234,1.645,0.573,0.209
183,0.478,0.036,0.472,0.566,0.109,0.006,0.139,0,0,0.67,0.334,0.008,0,0.191,0.258,0.004,0,0.091,0.007,0.511,0.137,0.545,0.074,2.071,0.163,0.463,0.292,0.76,0.368,0.008,0.53,0.103,0.199,0.463,0.145,1.289,0.257,0.111,0.169,0.112
184,0.081,0.863,0.008,0.332,2.529,0.006,2.14,0.039,0,0.087,0.146,0.454,5.087,0.653,0.149,0.316,1.328,0.672,0.006,0.52,0.006,0.348,0.573,3.177,0.444,0.125,0.359,0.052,0.17,0.005,0.007,0.542,0.004,0.377,0.716,0.004,0.266,3.067,0.353,0.003
185,0.005,0.734,0.198,0.755,0,0.285,0.445,0.057,0,0.135,0.006,0.238,0,0.005,0.007,0.019,0,0.005,0.098,0.004,0.42,1.224,0.963,1.055,0.712,0.003,0.002,0.677,2.808,0.12,0.012,0.034,1.03,0,0.156,0.225,0.071,2.994,0.16,0.327
186,0.167,0.101,0.357,0.442,3.8,0.072,0.016,1.589,5.145,2.127,0.004,0.004,0.661,0.008,0.003,0.018,0.064,0.005,0.234,0.004,0.428,0.385,0.305,0.373,0.82,0.295,0.308,0.462,0.274,2.538,0.003,3.14,0.387,0,0.124,0.226,1.024,0,1.302,0.329
187,0.459,0.024,0.245,0.234,0,0.003,0.411,1.244,0.031,0.358,0.243,0.783,0.226,0.067,0.107,0.007,0.204,0.298,0.004,0.194,0.244,0,0.343,0.351,0.717,0.157,0.582,0.251,0.016,0,0.129,0.377,0.015,3.772,0.004,0.683,0.451,0.356,0.316,0.004
188,0.15,0.004,0.049,0.103,0.156,0.01,0.323,0.443,0.028,0.031,0.536,0.905,0.328,0.629,0.238,0.811,0.005,0,0.704,0.288,0.181,0,0.004,0.013,0.057,0.003,0.131,0.16,0.356,5.093,0.216,0.103,0.004,0.746,0.613,0.268,0.006,0.298,0.035,0.265
189,0.004,0.313,0.207,0.631,0.171,0.003,0.005,0.225,0.572,0.134,0.013,0.597,0.013,0,0.005,0.294,0.911,0.676,0.732,0.008,0.472,5.664,0.209,0.537,0.003,0.452,0.004,0.467,0.005,0,0.004,0.155,0.533,0,1.074,1.093,0.402,0.416,0.207,0.252
190,0.448,0.82,0.335,0.003,0.073,0.013,0.545,0.404,0.004,0.773,0.008,0.644,1.644,0,1.248,0.173,1.216,0.62,0.477,1.024,0.006,0.035,0.006,0.241,0.612,0.007,0.794,0.346,0.006,0.556,0.366,0.352,1.055,2.462,0.31,0.131,0.693,0.882,0.299,0.066
191,0,0.007,0.963,0.105,0.005,0.005,0.083,0.004,0.476,0.006,0.003,0.007,1.02,0,1.325,0.008,0.346,0.612,0.563,0.206,0.287,0.446,0.064,0.006,0.474,0.037,0.151,0.324,0.111,0.817,1.126,0.556,0.785,2.86,0,0.269,1.56,1.613,0.666,0.054
192,0,0.058,0.178,0.047,0.003,0.416,0.362,0.187,1.599,0.198,0.141,0.072,0.701,0,0.673,0.136,1.135,0.592,0.054,0.404,0.036,0.057,0.041,0.456,0.022,0.088,0.008,0.016,0.013,0.137,0.056,0.107,0.243,0.216,0,0.142,0.567,0.58,0.007,0.028
193,0,1.236,0.342,0.007,0.955,0.167,0.006,0.04,1.039,0.18,0.273,0.003,0.099,6.823,0.771,0.004,0.008,0.289,0.47,1.134,0.366,0.212,0.503,0.087,0.521,0.619,0.26,1.048,0.871,0.776,0,0.003,0.301,0.316,0,0.074,1.178,0.109,0,0.004
194,0,0.005,0.303,0.007,2.394,0.449,0,0.142,0.004,1.527,0.203,0.931,0.039,0.249,0.015,0.638,0.061,0.005,0.004,0.02,0.333,0.007,0.388,0.002,0.189,0.443,0,0.006,0.242,0.0,3.17,0.405,0.142,0.452,0,0.114,0.282,0.009,0,0.003
195,5.352,0.0,0.005,0.0,0.092,0.824,0.091,0.004,0.002,0.35,0.006,0.214,0.097,0.824,0.115,0.362,0,0.003,1.737,0.14,0.003,0.002,0.869,0.092,0.002,0.003,0,0.003,1.891,1.635,0,0.004,0.298,0.201,4.298,0.002,0.167,0.649,0,0.054
196,0,0.475,0.004,0.311,0.34,0,1.023,0.003,0.652,0.505,0.0,0.004,0.005,0.155,0.197,0.181,0.161,0.003,0,0.759,0.721,0.966,3.901,0.053,0.508,0.617,0,2.082,1.079,0.916,0,0.003,0.252,0.0,0.399,0.554,0,0.264,0,0.005
197,0.141,1.557,0.803,0.318,1.03,0.474,0.005,0.197,0.782,0.198,1.76,0.132,1.222,1.074,2.165,0.358,0.795,1.015,3.56,0.47,0.058,0.143,1.503,0.209,0.537,0.369,0,0.358,1.524,0.151,0.226,0.005,0.018,1.285,0.252,0,0.005,0.441,7.764,0.003
198,0.324,0.18,0.078,0.36,0.006,1.265,0,0.813,0.144,0.401,0,0.77,0.005,0.22,0,0.006,0.053,0.186,0,0.036,0.194,0.118,0,0.384,0.159,0.177,6.184,0.279,0.178,0.074,0.004,0.004,0.461,0.005,0.037,0,0.005,0.005,0.06,0
199,0.161,0.686,0.131,0.351,0.574,0.621,0,0.066,0.452,0.119,1.572,0.0,0.156,0.214,2.028,0.004,0.422,0.004,0,0.286,0.137,0.256,0,0.787,0.293,0.4,0.443,0.117,0.385,0.359,0.71,0.303,0.449,0.459,0.006,0,0.265,0.203,0.22,1.157
200,0.819,0.289,0.108,0.058,1.195,0.005,0,0.188,1.145,0.527,0.415,0.121,0.2,0.115,4.938,0.507,0.943,0.162,0,0.429,0.005,0.45,1.194,0,0.005,0.004,0.242,0.844,0.005,0.006,0.644,0.389,0.552,0.137,0.0,0,0.544,0.756,0.555,0.004
201,0.209,0,0.01,0,0.268,1.34,0.474,0.946,0.009,0.552,0.111,0.673,0.303,0.618,0,0.006,0.004,0.327,0,3.557,0.005,0.004,0.03,3.655,0.004,0.002,0.004,0,0.004,0.256,0.472,0.004,0.0,0.004,0.259,4.311,0.424,0.004,1.329,0.656
202,0.003,1.106,0.016,0.48,0.003,0.456,0.407,0.008,0.398,0.014,0.002,0,0.0,0.001,0,0.859,0.174,0.005,0.103,0,0.64,0.73,0.399,0,0.54,0.478,0.518,0,1.011,0.581,2.039,0.0,0.696,0.0,0.046,0.292,0.002,0,0.002,0.142
203,0.762,1.074,0.158,0.006,0.319,0.006,0.218,0.311,0.005,0.658,1.003,0,0.366,0.288,0.088,0.48,0.006,0.504,0.003,0,0.03,0.94,0.555,0,0.903,0.31,0.752,4.367,0.32,0.376,1.197,0.781,0.054,0.359,0.005,0.005,0.342,0.173,0.69,0.003
204,1.154,0.602,0,0.619,0.008,0.242,0.841,0.753,0.189,0.287,0.008,0.072,0.005,0.005,0.007,1.157,0.192,0.005,0.003,0,0.532,0.003,0.44,0,0.004,0.309,0.696,0,0.005,0.266,0.003,0.974,0.004,0.114,1.06,0.013,0,0.009,0.007,0.28
205,0.249,0.46,0,1.092,0.257,0.911,0.489,0.006,0.003,0.005,0.004,0.131,0.195,0.186,0.986,0.605,1.452,0.346,1.046,0,1.843,0.004,0.168,7.888,0.563,0.004,1.217,0,0.003,0.471,0.004,0.256,0.005,0.006,0.501,0.004,2.261,0.008,0.005,1.276
206,0.005,0.159,4.756,1.514,0.073,0.037,0.152,1.357,0.933,0.605,0.823,0.046,0.617,0.002,0.222,0.562,0.94,0.872,0.857,0,0.113,0.497,1.451,0.07,0.446,0.027,0.358,3.094,1.415,0.264,0.969,0.537,0.753,0.951,0.122,0.515,0.423,0.005,0.663,0.026
207,0.34,0.09,0,0.174,0.712,0.309,0.346,1.471,0.018,0.457,0.383,0.005,0.876,0.227,1.117,0.051,0.856,0.88,0.309,2.6,0,0.233,0.316,0.148,0.07,0.449,0.173,1.36,0.026,0.005,0.588,0.373,0,0.502,0.122,0.037,1.321,0.657,0.495,0.184
208,0.551,0.044,0.272,1.624,0.403,0.042,0.004,0.052,0.19,0.123,0.443,0.214,0.441,0.582,0.656,1.229,0.651,0.425,0.066,0.051,0,0.326,0.053,0.017,0,0.111,0.005,0.144,0.005,0.014,0.068,0.039,0,0.37,0,0.004,0.323,0.17,0.308,0.002
209,0.005,0.05,0.149,0,0.025,0.005,0.893,0,0.005,0.251,0.003,0.483,0.303,0.005,0.176,0.361,0.005,0.154,0.308,0.141,0,0.004,0.004,0.005,2.695,0.005,0.004,0.181,0.776,0.005,0.08,0.004,0,0.177,0.175,0.0,0.253,0.071,0.114,0.855
210,0.004,0.193,0.125,0,0.009,0.618,0.636,0,1.366,0.026,0.09,0.138,0.097,0.003,0.05,0.252,0,0.005,0.6,0.005,0.919,0.408,0.005,0.395,0,0.189,0.005,0.282,0,0.245,0.052,0.909,5.757,0.0,0.465,0.744,0,0.0,0.003,0.722
211,0.682,0.547,0.634,0.786,0,0.344,0.65,2.773,0.231,0.735,0.005,0.006,0.435,0.219,0.197,0.02,0,0.253,0.314,1.048,0.185,0.609,0.653,0.229,3.837,0.319,0.739,0.894,3.414,0.046,0.431,0.085,0.089,0.006,0.31,0.398,0.479,0.514,0.266,0.387
212,1.312,0.119,1.362,0.571,0,0.01,0.068,0.201,4.015,0.652,0.252,1.287,1.411,0.498,0.415,3.062,0.427,0.442,0.024,1.386,0.094,0.126,0.062,0.011,0.077,0.186,0.046,0.087,4.636,0.045,0.05,0.574,0.262,0.773,0.021,0.18,0.682,0,0.28,0.039
213,0.078,0.03,0.291,0.091,4.085,0.005,0.008,0.209,0,0.543,0.49,0.493,0.24,0.224,0.031,0.081,0.007,0.088,0.841,0.124,0.011,0.018,0.011,1.22,0.137,0.024,0.007,0.019,0.098,1.149,0.562,0.092,0.012,2.851,0.203,0.006,0.193,0,0.12,0.255
214,0.013,0.009,0.01,0.006,0,0.133,0.004,0.012,0.183,0.038,0.025,0.143,0.068,0.017,0.025,0.003,0.776,0.02,0.015,0.015,0.365,0,1.193,0.201,1.143,0,0.446,0.549,0.785,1.271,0.014,0.005,0.094,4.088,0.004,0.508,0.02,0,0.008,0.006
215,0.005,0.04,0.008,0.345,0,2.114,1.66,0.007,0.073,0.008,0.615,1.528,0.365,1.152,0.557,0.375,0.605,0.0,0.263,0.0,0.006,0.228,0.128,1.563,0.299,0.242,0.006,0.096,0.139,0.952,0.389,0.207,0.078,3.063,0.007,0.206,0.226,0,0.16,0.008
216,0.017,0.007,0.171,1.881,0.331,1.016,0.036,0.13,0.293,0.034,0.052,0.851,0.007,0.176,0.072,0.005,0.12,0.247,0.289,0.21,1.829,0.472,0.008,0.441,2.848,1.761,1.097,1.501,0.845,4.849,0.089,0.001,0.07,0,0.004,0.01,0.167,0,0.054,0.004
217,2.593,0.004,0.774,1.184,0.512,0.004,0.004,1.588,0.004,0.922,0.003,0.507,0.006,0.004,0.315,1.114,1.162,0.005,0.63,0.147,1.545,0,0.228,0.002,1.272,0.552,0.409,0.412,1.377,0,0.006,0.008,0.005,0,0.853,0.005,0.008,4.447,0.007,0.577
218,0.02,0.146,0.134,0.007,0.003,0.031,0.297,0.909,0.553,0.015,0.846,0.325,0.682,1.603,0.39,0.006,1.906,0.851,0.359,0.994,0.002,2.484,0.006,0.665,0.005,0.0,0.003,0.012,0.014,2.652,0.005,0.004,1.263,0.229,0.524,0.665,0.005,0.057,0.005,0.231
219,0,0.005,0.392,0.129,1.041,0.012,0.381,0.009,0.07,0,0.004,0.409,1.716,0,0.258,0.508,0.966,0.317,0.4,0.263,0.13,0,0.015,0.038,1.501,0.151,1.171,0.014,0.071,0.602,1.388,2.195,0.01,0,0.203,0.515,0.906,0.972,0,0.243
220,0,0.273,0.007,0.416,1.02,0.004,0.004,0.135,0.165,0,0.279,0.61,0.307,5.252,1.208,0.083,0.093,0.866,0.66,0.169,0.009,0.227,0.296,0.272,0.006,0.124,0.153,0.302,0.006,0.974,0.349,0.261,0.315,0.34,0.003,0.849,0.75,0.449,0,0.003
221,3.622,0,0.278,0.005,0.488,0.298,0.005,0.156,0.005,0,0.133,0.007,0.05,0,0.782,0.195,0.534,0.068,0,0.238,0.35,0.003,1.05,0.004,0.003,0.002,0.752,1.067,0.002,0.723,0.0,0.004,0.195,0.552,0.417,2.806,0.233,1.242,0,0.355
222,0,0.007,0.003,0.22,0.104,1.227,0.239,0.002,0.009,0,0.005,0.013,0.774,0,0.36,0.047,0.504,0.756,0,0.476,1.32,0.547,0.805,1.052,0.727,0.776,0.103,0.577,0.296,1.223,0,0.002,0.551,1.38,0.633,0.541,0.001,0.001,0,0.003
223,0,1.827,0.577,0.02,0.596,0,0.086,0.188,0.874,0.499,1.037,0.076,0.933,0,0.313,0.029,0.378,0.247,0.521,0.407,0.407,0.37,2.246,0.28,0.577,0.655,1.226,1.933,2.269,0.467,0.694,0.199,0.952,1.277,0.057,0.312,0.158,0.228,0,2.548
224,3.246,0.013,0.653,0.006,0.008,0,0.005,1.187,0.006,0.835,0.205,0.491,0.461,1.049,0.222,0.036,0.246,0.142,0.279,0.314,0.015,0.089,0,0.15,0.109,0.118,0.206,0.75,0.181,0.201,0.482,0.822,0.331,1.74,0.022,0.59,0.341,0.32,3.565,0
225,0.144,0.783,0.038,0.005,0.079,0,0.606,0.265,0.113,0.214,0.046,0.874,0.197,0.046,0.63,0.299,0.061,0.242,0.555,0.126,0.129,0.206,0,0.261,0.033,0.221,0.141,0.093,0.13,0.095,0.237,0.023,0.093,0.13,0.388,0.158,0.079,0.077,0.162,0.615
226,0.222,0.324,0.096,0.292,0.395,1.27,0.009,0.006,1.019,0.097,0.187,0.42,0.058,0.206,1.872,0.033,0.418,0.333,1.032,0.014,0.029,0.099,2.171,0,0.016,0.007,0.037,0.21,0.02,0.758,0.165,0.016,0.47,0.087,0.693,0.231,0.057,0.039,0.169,0.139
227,1.175,0.006,0.159,0.042,0.265,0.186,0,0.849,0.531,0.369,0.008,0,0.547,0.384,0,0.388,0.224,0.498,0.242,1.076,0.482,0.095,0,0,0.291,0.254,0.31,0.556,0.14,0.148,0.438,0.006,0.171,0.546,0.391,0.043,0.11,0.006,0.897,1.165
228,0.038,0.135,0.078,0.053,0.006,0.712,0.303,0.018,0.487,0.094,0.115,0,0.395,1.748,0,0.205,0.164,0.08,0.105,0.691,0.053,0.057,0.284,0,0.086,0.007,0.038,0,0.03,0.112,0.138,2.65,0.305,0.436,0.229,0.522,0.059,0.373,0.558,0.005
229,0.13,0.815,0.01,1.275,0.571,0.215,0.235,0.279,0.285,0.128,0.036,0,0.21,0.243,0,0.296,0.367,0.25,0.036,0.122,0.248,0.268,0.369,5.057,0.579,0.71,0.551,0.717,0.716,0.007,1.453,0,0.14,0.348,0.02,0.171,0.292,0.418,0.608,0.585
230,0.293,0.67,1.019,0.259,0.086,0.299,0.004,0.699,0.467,0.131,0.332,0,0.263,0.02,0,1.244,0.025,0.399,0.006,0.114,0.578,0.243,0.324,0,0.468,0.18,0.143,0.196,0.455,0.006,0.191,3.964,0.04,0.549,1.741,0.095,0.204,0.005,0.322,0
231,0.091,0.009,0.566,0.004,0.157,0.639,0.425,0.828,0.464,0.014,0.032,0,0.098,0.008,0.098,1.82,0.999,0.089,0.016,0.644,0.004,0.003,0.626,0,0.327,0.405,0.253,0,0.004,0.374,0.958,0,0.376,0.289,0.009,0.003,0.604,0.21,1.523,0.231
232,0.004,0.751,0,1.342,0.075,0.092,0.739,0.006,0.406,0.005,0.003,0.378,0.005,0.122,0.066,0.194,0.526,0.257,1.049,0.553,0.25,0.176,0.848,0.176,0.171,1.591,0.41,0,0.397,0.008,0.005,5.253,0.025,0.003,0.256,0.005,0.002,0,0.0,0.143
233,0.551,1.003,0.411,2.037,0.003,0.329,0.455,0.435,0.006,0.107,0.006,0.065,0.367,0.314,0.628,0.059,1.098,0.497,0.047,0.088,0.005,0.005,0.005,0.151,0.005,0.015,0.007,3.412,0.005,0.125,0.11,0.054,0.029,0.052,0.537,0.95,0.217,0.167,0.086,0.682
234,1.463,0.402,0.691,0.469,0.294,0.01,0.086,2.138,0.431,0.048,0.236,0.003,0.407,0.709,1.014,1.198,0.113,0.403,0.04,0,0.496,0.469,1.033,0.164,0.005,0.018,0.337,0.187,1.317,0.005,0.755,0.209,0.005,1.16,0.003,0.049,0,0.837,0.531,0.038
235,0.025,0.011,0.136,0,0.006,0.004,1.168,1.473,0.045,0.571,0.176,0.743,0.167,0.02,0.265,0.329,0,0.136,0.336,0.541,0.113,0.004,0.016,0.718,0,0.014,0.006,0.012,0.436,0.368,0.476,0.358,0,0.175,0.808,0.014,2.107,0.052,0.059,1.0
236,0.037,0.002,0.017,0,0.006,0.158,0.346,0,0.513,0.065,0.081,0.006,0,0.008,0.005,0.007,0,0.008,0.64,0.17,0.003,0.002,0.696,0.173,0,0.901,1.208,0.226,1.197,0.328,0.178,0.001,4.681,0.035,0.18,0.007,0.084,0.02,0.017,0.118
237,1.78,0.199,0.752,3.552,0.005,0.241,0.058,0,0.475,0.003,0.002,0.522,1.755,0.71,0.299,0.136,0,0.003,0.232,0.003,0.129,0.269,0.327,0.772,1.033,0.335,0.538,0.919,0.302,0.019,0.424,1.1,0.152,0.959,0.087,0.493,1.228,0.823,0.006,0.293
238,0.353,0.486,0.19,0,0.006,0.012,0.046,0.367,0,0.206,0.33,0.91,2.687,0.641,0.136,0.005,0.465,0.382,0.096,0.504,0.139,0.452,0.008,0.065,1.543,0.107,0.571,0.005,0.165,0.125,0.077,0.306,0.005,0.392,0.131,0.091,0.404,0.56,0.451,0.08
239,0.098,0.104,0.324,0.265,0.862,0.004,0,0.388,2.439,0.207,0.038,0.315,0,0.005,0.02,0.19,0.164,0.063,0.004,0.313,0.095,0.057,0.006,0.002,0.126,0.053,0.039,0.133,0.006,0.851,0.073,0.528,0.006,0.397,2.479,0.246,0.433,0,0.375,2.249
240,0.093,3.342,0.006,0,2.057,0.078,0.605,0.133,0,0.061,0.041,0.315,0,0.276,0.077,0.006,0.0,0.153,0.009,0.534,0.004,0.003,0.004,0.943,0.002,0.002,0.374,0.016,0.003,0.246,0.026,0.048,0.773,0,0.564,0.005,0.149,0,0.115,0.768
241,0,0.344,0.003,0.098,0,0.11,0.016,0,0.214,0.0,0.132,0.785,0,0.002,0.004,0.005,0.435,0.004,0.005,0.01,0.544,0.838,0.537,0.159,1.021,0.812,0.329,0.834,0.583,0.127,2.141,1.378,1.019,0,0.005,0.355,0.004,0,1.368,0.013
242,0.076,0.005,0.007,0.242,0,0.236,0.996,0.89,0.238,0.566,0.473,1.067,0.312,0.299,0.122,0.788,0.334,0.167,0.262,0.346,0.439,2.603,0.215,0.939,0.448,0.039,0.038,0.039,0.124,0,0.247,0.444,0.005,0,0.288,0.033,1.215,3.895,0.66,0.753
243,0.122,0.008,0.065,0.841,0.098,1.945,1.302,0.228,0.16,0.032,0.037,0.27,0.111,0.025,0.169,0.013,1.619,0,0.816,0.011,1.239,0.204,0.441,0.698,1.079,0.35,0.659,0.225,0.428,0,0.016,0.003,0.398,4.502,0.006,0.377,0.032,0,0.005,0.004
244,0.42,0.005,0.19,1.48,0.004,0.205,0.005,0.71,0.193,0.228,0.004,0.641,0.587,1.225,0.74,0.681,1.785,3.154,0.139,0.968,0.91,0,0.005,0.114,2.0,1.642,0.384,1.604,1.045,0,0.276,0.293,0.004,1.291,0.086,0.005,0.004,0,0.402,0.005
245,2.396,0.005,1.464,0.139,0.54,0.155,0.248,1.345,0.108,1.251,0.793,0.005,0.914,0,0.171,0.003,1.316,0.705,0.203,0.703,0.034,0.423,0.2,0.654,0.405,0.741,0.37,0.233,0.478,6.064,0.005,0.005,0.115,0,2.539,0.137,0.005,2.305,0.016,0.405
246,0.786,0.343,0.005,0.294,0.003,0.002,0.001,0.251,0.174,0.163,0.038,0.991,0.353,0,0.348,0.064,0.427,0.524,0.004,0.398,0.005,0,0.102,0.003,1.248,0.148,0.75,0.416,0.887,0,0.005,0.016,0.856,2.049,0,0.046,0.006,0.17,1.144,0.004
247,0.389,0.003,0.175,0.005,0.846,0.687,0.006,0.205,0.004,0.237,0.005,0.004,0.786,1.901,1.384,0.004,0.133,0.845,0.331,0.3,0.003,0,0.144,0.273,0.003,0.055,0.004,0.114,0.005,0.316,1.366,0.664,0.003,0,0,0.072,0.164,0.54,0,0.051
248,0.278,0.162,0.049,1.055,0.025,0.232,0.004,0.003,0.14,0,0.004,0.487,0.191,0.215,0.004,0.371,0.841,0.256,0.464,0.088,0.806,0.645,1.841,0.003,1.168,0.539,0.299,0.938,0.067,0.004,0.002,0.002,0.197,0,0,0.131,0.042,0.003,0,0.227
249,1.369,1.71,0.567,0.004,0.796,0.407,0.207,0.497,0.002,0,0.776,0.108,2.568,0,0.799,0.026,0.104,0.862,0,0.779,0.003,0.08,0,0.228,0.002,0.42,0.003,0.002,0.004,0.716,0.086,0.004,0.466,0.12,0.352,0.005,0.149,0.197,0,0.005
250,0,0.393,0.002,0.116,0.774,3.323,0.019,0.004,0.419,0,0.005,0.112,0.004,3.388,0.323,0.38,0.086,0.589,0,0.003,0.855,0.602,0,0.03,1.098,0.621,0.183,1.125,0.855,0.747,0.472,0.178,0.372,0.322,0.147,0.245,0.001,0.004,5.967,0.495
251,0.491,0.028,0.683,0.036,0.969,0.109,0.442,0.517,0.012,0,0.912,0.007,0.165,0.513,0.187,0.009,0.286,0.519,0,0.15,0.635,0.251,0,0.007,0.194,0.269,0.163,0.241,0.061,0.904,0.157,0.196,0.195,1.006,0.547,0.109,0.168,0.073,0,0.224
252,0.005,0.383,0.036,0.137,0.238,0,0.517,0.005,0.255,0.36,0.796,0.506,0.091,0.198,0.366,0.004,0.171,0.021,1.264,0.528,0.193,0.131,4.077,0.478,0.03,0.079,1.283,0.245,0.609,0.757,0.145,0.054,0.149,1.002,0.005,0.142,0.841,0.018,0,0
