txkB/s,client01,client02,client03,client04
194,6020.64,5600.64,5589.81,5608.55
195,5367.39,4349.54,931.79,4035.41
196,1440.23,1325.63,1535.6,1344.72
197,424.19,1819.83,1099.58,1334.61
198,2622.3,1838.41,5184.44,1215.45
199,2716.82,3620.29,2905.96,5110.54
200,5587.43,2748.44,3232.71,3190.08
201,2024.75,4035.05,1528.03,2789.6
202,3051.1,1855.48,859.05,1284.73
203,1462.04,1051.88,1676.64,889.06
204,189.18,1459.2,3147.07,1334.04
205,5229.29,4611.15,1880.26,4412.77
206,2675.23,1754.99,2419.25,2460.28
207,3738.29,3749.24,1469.85,4376.64
208,3780.44,1765.3,1948.13,1970.04
209,884.12,2251.79,14.92,2854.08
210,836.77,18.95,4309.6,73.52
211,1804.95,4517.8,2070.5,5289.46
212,5256.06,2559.74,1218.73,2681.34
213,1194.97,1201.9,800.52,626.7
214,865.99,682.52,2424.32,526.72
215,1197.22,2880.98,7207.86,2444.48
216,5174.94,6363.85,2467.6,7156.07
217,5724.22,3574.83,1531.3,2758.58
218,1556.12,1698.47,474.94,1689.24
219,1233.83,557.77,2532.06,849.73
220,3002.22,2932.4,5197.46,3453.84
221,3610.34,4784.56,4636.52,5597.18
222,4903.94,5527.53,5516.74,5011.39
223,7701.15,4914.37,132.87,5087.31
224,59.8,118.34,3454.88,215.49
225,2686.81,3802.94,554.99,3417.27
226,1045.27,390.33,3150.57,782.8
227,3253.62,3413.15,2692.54,4809.38
228,4196.84,3359.05,1550.54,3080.44
229,362.33,859.41,2195.08,1057.92
230,4160.75,3412.83,2439.43,2584.18
