op_w_process_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
168,0.006,0.64,0.51,0.22,0.316,0.941,0.147,0,0.401,0.333,0.121,0.477,0.141,0.006,0.779,0,0.622,0.207,0.31,0.066,0,0.172,0.087,0.177,0.005,0.198,0.345,0.057,0.004,0.023,0.756,0.512,0.418,0.399,0.615,0.011,0.401,0.122,0.137,0.753
169,0.664,0.383,1.157,0.126,0.173,0.109,0.874,4.397,0.007,0.01,0.075,0.291,0.07,0.209,0.192,1.088,0.423,0.02,0.347,0.338,0,0.188,0.184,0.116,0,0.214,0.174,0.08,0,0.215,0.419,0.78,0.875,0.262,0.138,0.703,0.597,1.049,0.612,0.021
170,0.084,0.177,0.286,0.176,0.006,0.226,0.125,0,0.139,0.165,0.005,0.458,1.257,0.089,0.124,0.28,0,0.171,0.199,0.15,0,0.856,0.143,0.652,0,0.652,0.17,0.704,2.805,0.269,0.058,0.163,0.999,0.137,0.123,0.005,0.513,0.237,0.166,0.079
171,0.253,0.587,0.672,0,0.004,0.187,1.409,5.937,0.005,0.187,0.995,0.213,0,0.849,0.004,0.769,0,0.815,0.752,0.701,0.727,0.262,0.48,0.475,3.763,0.194,0.474,0.453,0.063,0.076,0.517,2.99,0,0.82,0.816,1.027,0.234,1.762,0.617,0.516
172,0.478,0.23,0.472,0,0.211,0.099,0.476,0,0.379,0.679,0.342,0.302,0,0.201,0.262,1.28,2.915,0.093,0.223,0.523,0.14,0.545,0.074,0.125,0.168,0.471,0.292,0.78,0.372,0.098,0.53,0.109,0.131,0.476,0.032,0.331,0.257,0.111,0.173,0.463
173,0.082,0.036,0.008,0.581,0.037,0.121,0.082,0.04,0,0.087,0.149,0.211,5.087,0.653,0.149,1.102,0,0.672,0.604,0.534,0.006,0.389,0.609,2.071,0.467,0.125,0.381,0.06,0.182,0.008,0.008,0.568,0.199,0.393,0.552,1.306,0.27,3.067,0.353,0.209
174,0.005,0.863,0.198,0.332,0.005,0.006,0.139,0.061,0,0.14,0.006,0.022,0,0.005,0.008,0.004,1.328,0.006,0.007,0.004,0.48,1.224,0.963,3.421,0.841,0.003,0.004,0.72,2.808,0.005,0.014,0.039,0.004,0,0.154,0.004,0.071,2.994,0.188,0.112
175,0.18,0.78,0.376,0.755,0.005,0.006,2.14,1.589,0,2.836,0.005,0.008,1.982,0.009,0.003,0.004,0,0.006,0.006,0.004,0.428,0.397,0.305,1.055,0.827,0.295,0.308,0.462,0.276,0.127,0.003,6.28,1.145,0,0.716,0.225,1.331,0,1.378,0.003
176,0.463,0.102,0.245,0.453,0.109,0.289,0.445,1.244,5.145,0.365,0.243,0.454,0.235,0.068,0.108,0.316,0.065,0.298,0.098,0.196,0.249,0,0.343,0.379,0.726,0.161,0.582,0.251,0.016,2.538,0.129,0.384,0.391,3.772,0.156,0.232,0.451,0.364,0.319,0.336
177,0.15,0.024,0.049,0.238,2.529,0.075,0.017,0.45,0.031,0.031,0.549,0.242,0.333,0.649,0.238,0.019,0.204,0,0.243,0.288,0.194,0,0.004,0.351,0.06,0.003,0.131,0.209,0.385,0,0.216,0.112,0.015,0.746,0.125,0.697,0.006,0.3,0.036,0.329
178,0.005,0.004,0.207,0.103,0,0.004,0.411,0.261,0.03,0.134,0.014,0.005,0.013,0,0.005,0.019,0.005,0.684,0.004,0.008,0.501,5.664,0.228,0.013,0.003,0.486,0.005,0.575,0.006,5.093,0.004,0.169,0.004,0,0.004,0.268,0.402,0.416,0.216,0.004
179,0.48,0.313,0.346,0.631,3.8,0.01,0.323,0.414,0.572,0.822,0.008,0.783,1.692,0,1.304,0.007,0.911,0.646,0.704,1.117,0.006,0.035,0.006,0.558,0.663,0.007,0.9,0.346,0.007,0,0.401,0.366,0.533,2.462,0.631,1.141,0.759,0.928,0.319,0.265
180,0,1.367,0.963,0.004,0,0.003,0.005,0.004,0.005,0.007,0.003,0.905,1.403,0,1.325,0.811,1.459,0.668,0.732,0.206,0.287,0.455,0.064,0.241,0.486,0.038,0.151,0.324,0.111,0.556,1.126,0.612,1.29,2.97,1.074,0.137,1.631,1.687,0.714,0.252
181,0,0.007,0.178,0.107,0.158,0.013,0.556,0.19,0.476,0.202,0.144,0.597,0.722,0,0.682,0.294,0.346,0.6,0.491,0.41,0.038,0.057,0.041,0.006,0.024,0.091,0.008,0.017,0.013,0.817,0.056,0.109,0.785,0.222,0.31,0.273,0.567,0.58,0.007,0.069
182,0,0.058,0.342,0.047,0.171,0.006,0.097,0.04,1.668,0.18,0.294,0.682,0.099,6.823,0.771,0.185,1.135,0.289,0.563,1.276,0.375,0.221,0.503,0.456,0.534,0.619,0.268,1.125,0.9,0.139,0,0.004,0.252,0.342,0,0.15,1.219,0.109,0,0.054
183,0,1.236,0.303,0.007,0.076,0.416,0.362,0.15,1.039,1.527,0.203,0.007,0.04,0.257,0.016,0.009,0.008,0.005,0.055,0.02,0.355,0.007,0.421,0.087,0.205,0.477,0,0.007,0.242,0.776,3.17,0.418,0.301,0.452,0,0.075,0.282,0.009,0,0.028
184,5.352,0.005,0.006,0.007,0.005,0.167,0.006,0.004,0.005,0.361,0.007,0.072,0.097,0.851,0.121,0.136,0.066,0.004,0.47,0.15,0.003,0.003,0.869,0.003,0.003,0.003,0,0.003,3.781,0,0,0.005,0.153,0.21,0,0.114,0.206,0.811,0,0.004
185,0,0,0.004,0,0.003,0.524,0,0.003,0.003,0.757,0,0.003,0.011,0.387,0.197,0.004,0,0.003,0.004,0.759,0.721,0.966,3.901,0.092,0.523,0.641,0,2.082,1.079,1.635,0,0.003,0.372,0,0,0.003,0,0.395,0,0.003
186,0.145,0.475,0.803,0.318,0.955,0.916,0.098,0.201,0.652,0.203,1.864,0.931,1.246,1.104,2.256,0.638,0.161,1.031,1.802,0.48,0.061,0.143,1.503,0.055,0.555,0.369,0,0.377,1.579,0.943,0.235,0.005,0.255,1.3,4.298,0.574,0.005,0.441,7.764,0.057
187,0.333,1.557,0.078,0.318,2.394,0,1.023,0.859,0.813,0.401,0,0.236,0.005,0.22,0,0.395,0.795,0.186,0,0.04,0.205,0.126,0,0.209,0.162,0.177,6.184,0.307,0.184,0.151,0.004,0.004,0.018,0.005,0.407,0,0.005,0.005,0.06,0.005
188,0.168,0.18,0.131,0.36,0.096,0.489,0.005,0.072,0.144,0.123,1.635,0.004,0.167,0.214,2.028,0.181,0.053,0.004,3.56,0.301,0.137,0.263,0,0.392,0.304,0.409,0.463,0.12,0.385,0.074,0.739,0.314,0.461,0.459,0.257,0,0.279,0.208,0.229,0.003
189,0.837,0.709,0.111,0.351,0.34,1.265,0,0.188,0.484,0.574,0.427,0.132,0.206,0.124,4.938,0.358,0.435,0.166,0,0.429,0.005,0.45,1.194,0.787,0.006,0.004,0.242,0.844,0.006,0.375,0.644,0.407,0.469,0.14,0.037,0,0.557,0.774,0.562,0
190,0.215,0.3,0.01,0.067,1.03,0.65,0,0.946,1.217,0.577,0.111,0.77,0.34,0.643,0,0.006,0.943,0.34,0,3.557,0.006,0.004,0.031,0,0.005,0.004,0.004,0,0.004,0.006,0.472,0.004,0.575,0.005,0.006,0,0.424,0.004,1.359,1.202
191,0.003,0,0.016,0,0.006,0.008,0,0.009,0.009,0.014,0.004,0,0,0.003,0,0.004,0.004,0.005,0,0,0.653,0.744,0.399,3.655,0.549,0.478,0.534,0,1.028,0.26,4.077,0,0,0,0,4.311,0.004,0,0.005,0.004
192,0.782,1.106,0.158,0.48,0.586,1.361,0.486,0.331,0.408,0.658,1.029,0.127,0.366,0.288,0.089,0.522,0.174,0.504,0,0,0.031,0.971,0.573,0,0.927,0.323,0.776,4.367,0.333,0.581,1.243,0.841,0.696,0.359,0.264,0.299,0.342,0.173,0.713,0.656
193,1.213,1.074,0,0.006,1.195,0.456,0.407,0.781,0.005,0.303,0.008,0.673,0.005,0.005,0.008,0.006,0.006,0.006,0.105,0,0.532,0.004,0.44,0,0.005,0.309,0.836,0,0.006,0.423,0.003,0.974,0.06,0.143,0.046,0.005,0,0.011,0.007,0.142
194,0.249,0.803,0,0.731,0.268,0.006,0.218,0.006,0.227,0.006,0.004,0,0.26,0.236,0.986,0.859,0.209,0.389,0.003,0,1.843,0.004,0.168,0,0.704,0.005,1.217,0,0.003,0.266,0.004,0.274,0.005,0.006,0.005,0.014,2.261,0.009,0.005,0.003
195,0.006,0.46,4.756,1.191,0.003,0.302,0.946,1.583,0.003,0.692,1.097,0,0.823,0.003,0.25,0.48,1.452,1.047,0.004,0,0.117,0.497,1.451,7.888,0.457,0.028,0.358,3.276,1.447,0.483,0.969,0.594,0.005,0.994,1.136,0.004,0.486,0.005,0.69,0.343
196,0.34,0.159,0,1.514,0.319,0.945,0.502,1.471,0.964,0.457,0.392,0.072,0.876,0.231,1.117,1.185,0.94,0.88,1.046,2.721,0,0.24,0.316,0.071,0.07,0.449,0.177,1.36,0.026,0.264,0.603,0.392,0.753,0.513,0.501,0.522,1.348,0.657,0.495,1.276
197,0.568,0.09,0.274,0.174,0.008,0.037,0.152,0.056,0.018,0.125,0.443,0.133,0.441,0.582,0.664,0.616,0.856,0.43,0.871,0.052,0,0.326,0.055,0.148,0,0.116,0.006,0.151,0.005,0.005,0.07,0.04,0,0.37,0.125,0.038,0.33,0.173,0.317,0.026
198,0.005,0.044,0.154,1.624,0.257,0.309,0.346,0,0.206,0.265,0.004,0.046,0.31,0.005,0.185,0.562,0.669,0.158,0.309,0.148,0,0.004,0.004,0.018,2.695,0.005,0.004,0.19,0.776,0.015,0.08,0.004,0,0.188,0.122,0.004,0.263,0.075,0.119,0.184
199,0.005,0.058,0.125,0,0.073,0.045,0.004,0,0.005,0.03,0.099,0.005,0.124,0.004,0.054,0.051,0.005,0.005,0.066,0.005,0.928,0.408,0.005,0.005,0,0.203,0.005,0.282,0,0.005,0.052,1.091,0,0,0,0,0,0,0.005,0.003
200,0.682,0.193,0.634,0,0.712,0.005,0.982,2.884,1.366,0.735,0.005,0.221,0.448,0.232,0.197,1.229,0,0.262,0.334,1.07,0.191,0.619,0.653,0.401,3.837,0.319,0.755,0.932,3.414,0.25,0.431,0.094,5.757,0.006,0.181,0.762,0.495,0.514,0.271,0.855
201,1.331,0.547,1.362,1.022,0.403,0.634,0.636,0.208,0.237,0.652,0.263,0.49,1.411,0.498,0.415,0.377,0,0.442,0.612,1.436,0.095,0.128,0.063,0.229,0.078,0.188,0.046,0.09,4.636,0.046,0.052,0.593,0.09,0.773,0.472,0.403,0.682,0,0.289,0.722
202,0.08,0.119,0.294,0.571,0.025,0.344,0.65,0.211,4.015,0.554,0.498,0.138,0.243,0.227,0.032,0.252,0.427,0.089,0.314,0.127,0.011,0.018,0.011,0.011,0.143,0.024,0.007,0.019,0.1,0.046,0.571,0.095,0.265,2.851,0.31,0.18,0.204,0,0.122,0.387
203,0.013,0.032,0.01,0.094,0.009,0.01,0.068,0.012,0,0.04,0.026,0.006,0.07,0.019,0.025,0.02,0.007,0.021,0.024,0.015,0.365,0,1.193,1.22,1.205,0,0.446,0.549,0.785,1.149,0.014,0.005,0.012,4.088,0.021,0.006,0.02,0,0.008,0.039
204,0.006,0.009,0.008,0.007,0,0.006,0.009,0.007,0.183,0.008,0.676,1.287,0.449,1.536,0.626,3.062,0.776,0,1.262,0,0.006,0.232,0.128,0.207,0.306,0.253,0.006,0.101,0.143,1.271,0.389,0.231,0.097,3.063,0.207,0.532,0.233,0,0.164,0.289
205,0.017,0.04,0.171,0.345,0,0.143,0.004,0.134,0.075,0.034,0.054,0.516,0.007,0.185,0.072,0.084,0.605,0.247,0.015,0.215,1.894,0.566,0.008,1.563,2.94,1.761,1.17,1.689,0.889,0.979,0.114,0.003,0.078,0,0.004,0.206,0.167,0,0.054,0.006
206,2.714,0.007,0.774,1.881,4.085,2.114,1.66,1.699,0.293,0.949,0.003,0.167,0.006,0.004,0.315,0.003,0.12,0.005,0.306,0.16,1.576,0,0.228,0.447,1.303,0.56,0.433,0.419,1.377,4.849,0.006,0.009,0.07,0,0.008,0.011,0.009,4.447,0.008,0.008
207,0.021,0.004,0.138,1.184,0,1.016,0.036,0.909,0.004,0.015,0.871,1.528,0.694,1.603,0.411,0.375,1.184,0.879,0.289,1.029,0.002,2.484,0.006,0.002,0.006,0,0.003,0.012,0.019,0,0.005,0.004,0.005,0.229,0.004,0.005,0.006,0.058,0.005,0.004
208,0,0.163,0.392,0.008,0,0.005,0.004,0.009,0.737,0,0.004,0.851,1.879,0,0.258,0.005,1.906,0.317,0.63,0.263,0.134,0,0.015,0.679,1.526,0.155,1.171,0.014,0.071,2.652,1.388,2.332,1.318,0,0.853,0.831,0.906,1.032,0,0.705
209,0,0.005,0.007,0.133,0.333,0.033,0.313,0.137,0.07,0,0.296,0.507,0.314,5.252,1.225,1.114,0.966,0.881,0.38,0.173,0.009,0.23,0.296,0.038,0.007,0.124,0.16,0.333,0.006,0.615,0.349,0.297,0.011,0.362,0.537,0.542,0.784,0.449,0,0.231
210,3.622,0.273,0.278,0.416,0.524,0.013,0.381,0.164,0.169,0,0.14,0.342,0.05,0,0.782,0.006,0.093,0.068,0.411,0.246,0.467,0.004,1.4,0.272,0.003,0.003,0.752,1.601,0.003,0.974,0,0.004,0.315,0.552,0.209,0.863,0.233,1.242,0,0.243
211,0,0,0.003,0.005,0.003,0.004,0.004,0.004,0.005,0,0.005,0.409,0.839,0,0.405,0.508,0.534,0.881,0.66,0.666,1.32,0.57,0.805,0.004,0.771,0.776,0.113,0.577,0.307,0.755,0,0.003,0.195,1.656,0.003,2.806,0.003,0.004,0,0.003
212,0,0.007,0.604,0.228,1.041,0.298,0.005,0.188,0.011,0.527,1.117,0.61,0.957,0,0.322,0.083,0.531,0.256,0,0.407,0.407,0.37,2.246,1.052,0.602,0.669,1.226,1.933,2.269,1.223,0.801,0.205,0.587,1.304,0.417,0.553,0.165,0.235,0,0.355
213,3.417,1.827,0.653,0.022,1.02,1.534,0.245,1.187,0.874,0.848,0.205,0.007,0.517,1.154,0.228,0.195,0.378,0.146,0,0.322,0.016,0.089,0,0.285,0.111,0.119,0.206,0.757,0.181,0.474,0.487,0.859,0.973,1.76,0.644,0.318,0.341,0.32,3.692,0.004
214,0.146,0.013,0.038,0.006,0.488,0,0.088,0.269,0.006,0.214,0.048,0.014,0.197,0.048,0.63,0.048,0.246,0.242,0.532,0.126,0.134,0.222,0,0.15,0.034,0.221,0.149,0.105,0.146,0.201,0.243,0.025,0.331,0.135,0.057,0.59,0.081,0.077,0.167,2.548
215,0.231,0.783,0.096,0.005,0.109,0,0.005,0.006,0.113,0.097,0.187,0.079,0.058,0.206,1.872,0.031,0.061,0.333,0.289,0.015,0.03,0.099,2.171,0.261,0.017,0.007,0.048,0.216,0.02,0.095,0.19,0.018,0.093,0.087,0.023,0.164,0.057,0.039,0.19,0
216,1.225,0.324,0.162,0.292,0.596,0,0.606,0.869,1.072,0.387,0.008,0.491,0.569,0.394,0,0.036,0.433,0.529,0.555,1.242,0.482,0.097,0,0,0.298,0.254,0.31,0.556,0.143,0.769,0.438,0.007,0.479,0.557,0.388,0.231,0.122,0.007,0.916,0.615
217,0.038,0.006,0.078,0.044,0.008,1.296,0.009,0.018,0.552,0.097,0.117,0.874,0.412,1.802,0,0.299,0.224,0.082,1.032,0.691,0.054,0.057,0.286,0,0.088,0.008,0.038,0,0.03,0.148,0.138,2.65,0.175,0.45,0.693,0.046,0.059,0.378,0.563,0.142
218,0.13,0.14,0.01,0.054,0.079,0.193,0,0.286,0.487,0.131,0.037,0.42,0.223,0.258,0,0.033,0.164,0.259,0.264,0.125,0.261,0.268,0.369,0,0.596,0.71,0.551,0.717,0.742,0.116,1.453,0,0.313,0.358,0.409,0.536,0.299,0.418,0.622,1.165
219,0.303,0.815,1.019,1.275,0.395,0.731,0.32,0.761,0.296,0.131,0.363,0,0.263,0.02,0,0.412,0.367,0.399,0.108,0.122,0.589,0.25,0.33,5.057,0.475,0.183,0.146,0.206,0.466,0.007,0.238,3.964,0.14,0.579,0.229,0.171,0.204,0.005,0.336,0.005
220,0.092,0.67,0.566,0.259,0.27,0.215,0.235,0.842,0.467,0.014,0.032,0,0.1,0.008,0.098,0.209,0.025,0.091,0.036,0.644,0.004,0.004,0.626,0,0.378,0.405,0.299,0,0.005,0.006,0.986,0,0.04,0.289,0.02,0.096,0.627,0.218,1.555,0.585
221,0.005,0.01,0,0.004,0.006,0.299,0.004,0.006,0.567,0.006,0.004,0,0.005,0.143,0.068,0.296,1.331,0.281,0.006,0.553,0.25,0.176,0.848,0,0.178,1.625,0.41,0,0.397,0.384,0.005,5.253,0.423,0.005,1.741,0.003,0.003,0,0,0
222,0.564,0.767,0.427,1.426,0.571,0.671,0.437,0.435,0.417,0.109,0.006,0,0.391,0.314,0.637,1.244,0.526,0.51,0.016,0.091,0.005,0.005,0.005,0.18,0.005,0.015,0.007,3.412,0.005,0.008,0.11,0.057,0.026,0.054,0.009,0.006,0.217,0.171,0.088,0.242
223,1.463,1.003,0.691,2.037,0.086,0.096,0.776,2.332,0.006,0.048,0.256,0,0.418,0.743,1.014,1.857,1.098,0.403,1.116,0,0.505,0.479,1.033,0.152,0.005,0.018,0.342,0.194,1.335,0.125,0.787,0.233,0.029,1.207,0.256,0.974,0,0.837,0.544,0.143
224,0.026,0.402,0.136,0.469,0.159,0.333,0.455,1.565,0.431,0.571,0.176,0.384,0.167,0.02,0.265,0.196,0.113,0.136,0.048,0.552,0.115,0.004,0.017,0.164,0,0.015,0.007,0.012,0.436,0.005,0.491,0.365,0.005,0.175,0.542,0.05,2.148,0.052,0.06,0.682
225,0.039,0.011,0.018,0,0.075,0.01,0.086,0,0.05,0.071,0.086,0.065,0,0.009,0.005,0.059,0,0.008,0.04,0.184,0.003,0.003,0.696,0.897,0,0.901,1.208,0.226,2.394,0.442,0.178,0.004,0,0.041,0.003,0.014,0.087,0.023,0.018,0.038
226,2.225,0.003,0.752,0,0.003,0.004,1.168,0,0.769,0.003,0.003,0.003,1.755,1.243,0.299,1.198,0,0.003,0.336,0.003,0.131,0.269,0.327,0.174,1.033,0.344,0.538,0.919,0.305,0.328,0.424,1.1,4.681,1.005,0.808,0.007,1.228,0.861,0.007,1.071
227,0.353,0.199,0.19,3.552,0.294,0.162,0.359,0.373,0.475,0.209,0.338,0.743,3.135,0.658,0.138,0.329,0,0.388,0.662,0.513,0.142,0.452,0.008,0.772,1.672,0.107,0.571,0.006,0.168,0.019,0.077,0.325,0.153,0.4,0.183,0.505,0.411,0.56,0.457,0.12
228,0.1,0.486,0.324,0,0.006,0.248,0.058,0.401,0,0.207,0.039,0.006,0,0.005,0.02,0.007,0.468,0.063,0.235,0.32,0.098,0.059,0.006,0.065,0.13,0.054,0.04,0.143,0.006,0.125,0.078,0.571,0.005,0.406,0.087,0.091,0.433,0,0.379,0.293
229,0.096,0.104,0.006,0.27,0.006,0.012,0.046,0.136,2.439,0.062,0.041,0.522,0,0.276,0.078,0.136,0.164,0.155,0.096,0.547,0.004,0.004,0.004,0.003,0.004,0.002,0.561,0.016,0.004,0.851,0.027,0.049,0.006,0,0.133,0.25,0.154,0,0.118,0.08
230,0,6.684,0.004,0,0.005,0.004,0,0,0,0,0.264,0.91,0,0.003,0.005,0.005,0,0.004,0.004,0.01,0.544,0.838,0.537,0.943,1.048,0.825,0.329,0.834,0.583,0.25,2.141,1.722,0.869,0,2.479,0.005,0.006,0,1.71,2.249
231,0.078,0.353,0.007,0.105,0.006,0.082,0.619,0.89,0.231,0.575,0.473,0.315,0.326,0.309,0.124,0.19,0.435,0.171,0.009,0.354,0.456,2.603,0.215,0.163,0.448,0.04,0.038,0.039,0.124,0.131,0.247,0.453,1.035,0,0.564,0.368,1.215,3.895,0.669,0.796
232,0.122,0.005,0.065,0.242,0.862,0.113,0.017,0.236,0.241,0.032,0.04,0.328,0.115,0.025,0.169,0.006,0.334,0,0.005,0.011,1.312,0.204,0.441,0.939,1.214,0.35,0.769,0.292,0.489,0,0.017,0.004,0.005,4.502,0.006,0.034,0.033,0,0.005,0.013
233,0.458,0.008,0.19,0.841,2.057,0.266,0.996,0.817,0.169,0.228,0.004,0.841,0.587,1.225,0.74,0.005,1.619,3.154,0.288,1.162,0.953,0,0.006,0.698,2.05,1.703,0.404,1.687,1.045,0,0.345,0.346,0.398,1.291,0.336,0.399,0.004,0,0.452,0.753
234,2.574,0.005,1.534,1.48,0,1.945,1.302,1.403,0.206,1.329,0.85,1.067,0.949,0,0.195,0.788,1.839,0.728,0.816,0.77,0.034,0.447,0.2,0.118,0.436,0.741,0.394,0.233,0.494,0,0.005,0.005,0.005,0,0.006,0.005,0.005,2.305,0.016,0.004
235,0.814,0.005,0.005,0.146,0,0.216,0.005,0.251,0.118,0.174,0.039,0.27,0.404,0,0.348,0.013,1.316,0.524,0.139,0.398,0.005,0,0.102,0.654,1.309,0.154,0.75,0.416,0.887,6.064,0.005,0.017,0.118,2.049,0.086,0.142,0.006,0.175,1.144,0.005
236,0.389,0.343,0.175,0.307,0.099,0.159,0.259,0.211,0.174,0.246,0.005,0.641,0.831,1.901,1.423,0.681,0.427,0.874,0.218,0.312,0.004,0,0.144,0.004,0.003,0.059,0.004,0.131,0.006,0,1.366,0.703,0.878,0,2.539,0.047,0.164,0.54,0,0.439
237,0.278,0.003,0.049,0.005,0.004,0.004,0.002,0.004,0.004,0,0.005,0.005,0.191,0.236,0.004,0.004,0.133,0.256,0.004,0.113,0.821,0.659,1.841,0.273,1.188,0.539,0.307,1.036,0.069,0.321,0.003,0.003,0.003,0,0,0.08,0.048,0.003,0,0.004
238,1.434,0.162,0.567,1.055,0.55,0.687,0.006,0.516,0.14,0,0.776,1.011,2.596,0,0.811,0.064,0.841,0.876,0.338,0.779,0.003,0.087,0,0.004,0.003,0.472,0.004,0.003,0.004,0.004,0.091,0.005,0.197,0.125,0,0.133,0.149,0.197,0,0.051
239,0,1.71,0.003,0.004,0.003,0.232,0.004,0.004,0.003,0,0.008,0.004,0.004,3.388,0.376,0.004,0.119,0.688,0.464,0.003,0.855,0.602,0,0.228,1.114,0.638,0.183,1.125,0.872,0.73,0.472,0.2,0.621,0.336,0,0.005,0.004,0.004,6.281,0.227
240,0.513,0.414,0.683,0.123,0.846,0.423,0.207,0.517,0.432,0,0.958,0.487,0.177,0.536,0.19,0.371,0.086,0.519,0,0.153,0.66,0.251,0,0.032,0.199,0.279,0.163,0.241,0.061,0.747,0.157,0.203,0.385,1.034,0.359,0.258,0.168,0.076,0,0.005
241,0.005,0.028,0.036,0.038,0.025,3.323,0.021,0.006,0.012,0.372,0.817,0.112,0.095,0.21,0.366,0.027,0.286,0.022,0,0.528,0.198,0.131,4.077,0.007,0.03,0.079,1.283,0.265,0.621,0.921,0.145,0.062,0.202,1.026,0.147,0.114,0.873,0.018,0,0.495
242,0.371,0.383,0.074,0.137,0.828,0.115,0.442,0.853,0.263,0.1,0.346,0.115,0.174,0.077,0,0.389,0.171,0.424,0,0.45,0.005,0.84,0,0.478,0.585,0.523,0.789,0.775,0.335,0.757,0.005,0.058,0.149,0.066,0.555,0.142,0.064,0.05,0.123,0.224
243,0.842,0,0.484,0.061,0.774,0,0.517,0.388,0.006,0.317,0.139,0.007,0.007,0.056,0,0.009,0.057,0.047,1.264,0.081,0.174,0.024,0.726,0.163,0.25,0.155,0.144,0.107,0.235,0.029,0.251,0.005,0.787,1.679,0.006,0.668,0.046,0.103,0.222,0
244,0.125,0,0.125,0.229,0.969,0,0,0.829,1.375,0.908,0.073,0.506,0.592,0.967,3.795,0.004,0.349,0.475,0.191,1.222,1.19,0.243,0.455,0.521,0.497,0.212,0.185,0,0.508,0.891,0.436,0.268,0.855,0.005,0.083,0,0.224,0.078,0.657,3.438
245,0.184,0,0.053,0.058,0.238,1.963,0.989,0.008,0.227,0.008,0.427,0.233,0.622,0.907,0,0.564,0.281,0.241,0.724,0.577,0.608,0.073,0.711,0.249,0.383,0.669,0.333,0,0.994,0.048,0.192,0.429,0.351,0.213,1.232,3.899,0.133,0.138,1.733,1.25
246,0.005,6.164,0.135,0.005,0.003,0.233,0,0.434,0.739,0.036,0.127,0.046,0.177,0.005,0,0.005,0.004,0.004,0.004,0,0.747,0.461,1.369,1.14,0.616,0.29,0.605,0,0.97,0.602,0.514,0,0.004,0.408,0.253,0,0.741,0.223,0.259,0.3
247,0.39,0.09,0.492,0.14,0.201,0.892,0,0.126,0.345,0.53,0.433,1.404,0.005,0.394,0.09,0.471,0.509,0.546,0.239,0,0.01,0.271,0.085,0.528,0.435,0.117,0.313,0,0.337,0.297,0.419,0,0.543,0.43,0.458,0.52,0.45,0.061,1.818,0.23
248,0.139,0.022,0,0.194,0.005,0.667,0.232,0.172,0.009,0.03,0.088,0,0.081,0.331,0.083,0.125,0.143,0.111,0.048,2.836,0.315,0.214,0.371,0,0.224,0.285,0.377,0,0.005,0.312,0.21,0,0.372,0.197,0.207,0.153,0,0.004,0.354,0.182
249,0.071,0.335,1.793,0.832,0.289,0.775,0.088,0.27,0.188,0.134,0.005,0,0.32,0.43,0.511,0.39,0.477,0.31,0.052,0.028,0,1.045,0.146,0,0.007,0.003,0.003,0,0.004,0.003,0.1,0.68,0.153,0.137,0.098,0.03,1.078,0.187,0.152,0.453
250,0.003,0.003,0,0.899,0.003,0.152,0.003,0.003,0.003,1.525,0.003,5.027,0.004,0.211,0.148,0.003,0.004,0.003,0.003,0.003,0.322,0.131,0.389,0.318,0.141,0.005,0.133,5.501,0.511,0.005,1.331,0.003,0.489,0.515,0.004,0.003,0,0.004,0.003,0.97
251,0.123,0.46,0,1.006,1.034,1.115,0.145,1.383,0.761,0.759,0.242,0.047,0.826,0.03,1.267,1.179,1.235,0.905,2.017,0.307,0.586,0.077,0.133,0.474,0,0.033,0.14,0.068,0.305,0.225,0.847,0.269,0.003,0.812,0.745,0.035,0,0.065,0.237,0.308
252,0.004,0.561,0,0,0.005,0.256,0.603,0,0.551,0.784,0.52,0.407,0.229,0.122,0.96,0.324,0.349,0.293,0.006,0.13,0,0.44,0.504,0.22,0,0.676,0.616,0.712,0.574,0.436,0.005,0.81,0,0.263,0.004,0.005,0.17,0.004,0.208,0.004
