rxmcst/s,aceph01,aceph02,aceph03,aceph04
121,0.0,0.0,0.0,1.0
122,2.0,2.0,2.0,0.0
123,0.0,0.0,0.0,2.0
124,1.0,1.0,1.0,0.0
125,0.0,0.0,0.0,1.0
126,1.0,1.0,1.0,0.0
127,4.0,4.0,4.0,1.0
128,4.0,4.0,4.0,4.0
129,0.0,0.0,0.0,4.0
130,1.0,1.0,0.99,0.0
