op,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
50,695653,563398,641902,427265,454549,448409,461488,544187,786283,635741,671269,815727,601461,453833,733980,493425,472513,660824,401658,535321,497655,751249,706153,668335,520282,856041,527815,760631,818581,629910,435349,745961,797094,686202,893041,689648,283354,412420,1200825,599632
51,695812,563582,642131,427440,454704,448656,461617,544338,786514,635945,671477,815940,601649,454096,734064,493576,472665,660992,401913,535484,497842,751515,706383,668581,520495,856246,528095,760821,818778,630127,435574,746133,797285,686439,893298,689859,283540,412564,1201016,599901
52,696032,563793,642324,427692,454947,448808,461785,544465,786710,636197,671666,816183,601928,454298,734362,493821,472925,661146,402099,535721,497985,751717,706556,668787,520725,856430,528305,761011,818970,630361,435787,746334,797517,686695,893510,690085,283783,412761,1201255,600093
53,696250,563979,642538,427836,455158,449002,461990,544632,786894,636376,671856,816388,602176,454490,734562,493992,473153,661329,402335,535937,498174,751941,706812,669042,520983,856655,528543,761224,819112,630629,436003,746543,797693,686906,893765,690285,283963,412945,1201423,600307
54,696478,564179,642745,428102,455380,449198,462199,544859,787166,636596,672025,816601,602418,454675,734712,494202,473365,661489,402513,536153,498351,752163,707018,669257,521192,856855,528769,761385,819343,630797,436245,746753,797888,687105,893916,690488,284181,413120,1201641,600528
55,696693,564367,642937,428230,455594,449437,462378,545097,787365,636792,672191,816764,602620,454899,734940,494411,473539,661728,402670,536360,498515,752388,707240,669420,521410,857066,529009,761573,819524,631024,436463,746923,798105,687348,894175,690677,284387,413345,1201879,600794
56,696847,564565,643131,428450,455832,449619,462519,545227,787625,637075,672398,816993,602878,455091,735113,494624,473728,661906,402888,536543,498671,752605,707426,669706,521657,857315,529234,761715,819679,631228,436681,747091,798226,687586,894394,690873,284554,413472,1202075,600981
57,697067,564752,643256,428647,456027,449853,462690,545413,787720,637188,672611,817226,603138,455294,735373,494917,473950,662092,403103,536839,498834,752833,707641,669896,521865,857496,529405,761940,819859,631444,436881,747296,798460,687760,894577,691058,284798,413692,1202249,601169
58,697289,564939,643477,428827,456190,450019,462852,545630,787973,637344,672805,817413,603389,455542,735592,495083,474224,662267,403291,536988,498987,753057,707824,670156,522077,857743,529647,762114,820102,631742,437090,747517,798682,687981,894751,691284,284981,413932,1202437,601435
59,697497,565139,643646,429094,456374,450215,463067,545765,788161,637522,672993,817604,603627,455769,735776,495267,474380,662435,403484,537257,499163,753254,708082,670448,522257,857849,529907,762388,820208,631893,437331,747731,798918,688206,895030,691454,285129,414067,1202612,601588
