%usr,client01,client02,client03,client04
352,0.83,1.2,1.28,1.23
353,0.86,0.87,1.3,1.28
354,3.49,1.2,1.3,1.15
355,2.49,1.16,1.28,1.15
356,0.78,1.1,1.25,1.23
357,0.68,1.0,1.1,1.23
358,0.88,1.2,1.25,1.23
359,0.86,1.04,1.38,1.18
360,1.68,1.02,1.28,1.13
361,3.76,1.01,1.2,1.28
362,1.06,0.97,1.2,1.13
363,0.78,0.94,1.28,1.05
364,0.78,1.15,1.3,1.1
365,0.65,1.17,1.28,1.15
366,0.73,1.17,1.33,1.15
367,2.77,1.05,1.3,1.2
368,3.17,1.29,1.33,1.1
369,0.68,1.25,1.38,1.15
370,0.56,1.04,1.33,1.23
371,0.81,1.15,1.28,1.2
372,0.68,1.2,1.23,1.1
373,0.63,1.07,1.23,1.25
374,3.83,1.27,1.15,0.93
375,2.18,1.06,1.28,1.05
376,0.78,0.99,1.33,1.13
377,0.76,1.25,1.35,1.08
378,0.98,1.1,1.33,1.18
379,0.61,1.32,1.18,1.2
380,1.77,0.96,1.25,1.23
381,3.86,0.99,1.15,1.75
382,0.96,1.38,1.1,1.18
383,0.71,1.17,1.13,1.28
384,0.5,1.1,1.28,1.33
385,0.51,1.14,1.28,1.18
386,0.61,1.2,1.1,1.23
387,2.9,1.17,1.23,1.33
388,3.29,1.06,1.25,1.18
389,0.78,1.2,1.23,1.2
390,0.71,1.0,1.28,1.23
391,0.61,0.99,1.23,1.18
392,0.65,1.17,1.23,1.25
393,0.53,1.22,1.25,1.2
394,3.63,1.17,1.15,1.18
395,2.05,1.14,1.2,1.28
396,0.56,1.3,1.35,1.03
397,0.76,1.31,1.68,1.15
398,0.86,2.55,1.81,0.98
399,0.55,2.76,1.18,0.35
