kbactive,aceph01,aceph02,aceph03,aceph04
317,13320168.0,13500240.0,13217108.0,13181000.0
318,13370728.0,13521756.0,13245296.0,13226644.0
319,13334848.0,13520920.0,13231764.0,13204504.0
320,13359368.0,13512540.0,13233828.0,13183488.0
321,13369680.0,13521036.0,13261192.0,13199016.0
322,13350096.0,13478880.0,13229360.0,13174464.0
323,13375232.0,13486516.0,13231368.0,13210196.0
324,13365872.0,13490724.0,13247788.0,13210896.0
325,13349028.0,13485536.0,13221328.0,13173340.0
326,13384688.0,13511480.0,13228480.0,13212036.0
327,13361384.0,13525076.0,13265716.0,13218116.0
328,13368648.0,13491976.0,13235052.0,13178324.0
329,13413128.0,13513512.0,13242572.0,13226556.0
330,13370992.0,13507188.0,13284744.0,13211900.0
331,13408572.0,13491884.0,13231132.0,13212100.0
332,13392544.0,13495456.0,13228912.0,13234000.0
333,13362264.0,13540532.0,13267248.0,13200500.0
334,13398356.0,13525444.0,13235232.0,13231936.0
335,13407700.0,13569572.0,13235388.0,13244780.0
336,13382776.0,13564588.0,13258908.0,13201876.0
337,13407236.0,13568136.0,13237884.0,13233200.0
338,13387184.0,13582692.0,13256672.0,13220084.0
339,13361012.0,13535876.0,13276628.0,13196988.0
340,13398860.0,13556232.0,13248092.0,13225404.0
341,13385276.0,13565528.0,13309912.0,13217964.0
342,13366032.0,13523780.0,13295036.0,13212500.0
343,13424540.0,13524772.0,13271528.0,13232576.0
344,13391488.0,13556000.0,13298128.0,13205896.0
345,13405844.0,13517212.0,13288580.0,13201704.0
346,13406752.0,13512532.0,13248716.0,13233668.0
347,13374012.0,13533656.0,13271380.0,13213820.0
348,13392104.0,13520912.0,13266064.0,13227460.0
349,13391656.0,13539936.0,13274516.0,13246588.0
350,13366936.0,13571184.0,13317944.0,13222964.0
351,13397812.0,13556592.0,13280224.0,13254676.0
352,13358140.0,13591228.0,13268132.0,13242328.0
353,13402156.0,13558412.0,13289712.0,13224028.0
354,13396028.0,13545480.0,13256276.0,13256268.0
355,13384908.0,13570924.0,13262852.0,13217264.0
356,13419152.0,13570716.0,13314152.0,13208492.0
357,13430968.0,13537440.0,13251776.0,13228984.0
358,13380552.0,13568136.0,13252412.0,13224384.0
359,13414448.0,13570608.0,13287460.0,13219092.0
360,13393080.0,13557448.0,13274372.0,13249984.0
361,13376876.0,13589692.0,13289252.0,13256420.0
362,13418832.0,13548932.0,13286952.0,13221228.0
363,13413008.0,13581580.0,13264224.0,13250144.0
364,13383464.0,13591392.0,13285312.0,13233440.0
365,13408520.0,13568444.0,13299932.0,13228124.0
366,13391612.0,13596904.0,13265940.0,13268604.0
367,13394260.0,13592856.0,13282492.0,13224828.0
368,13424504.0,13540964.0,13314952.0,13253940.0
369,13400324.0,13529296.0,13265936.0,13237936.0
370,13406112.0,13566428.0,13306236.0,13233896.0
371,13423148.0,13539568.0,13270888.0,13259536.0
372,13409060.0,13564944.0,13273228.0,13234864.0
373,13489888.0,13572860.0,13311524.0,13289412.0
374,13446360.0,13540428.0,13271628.0,13285204.0
375,13410440.0,13561180.0,13295292.0,13263376.0
376,13433340.0,13568384.0,13292652.0,13296180.0
377,13418748.0,13551820.0,13270764.0,13264588.0
378,13441076.0,13597844.0,13300688.0,13275616.0
379,13463320.0,13580256.0,13314080.0,13311672.0
380,13455332.0,13545832.0,13277296.0,13278684.0
381,13474340.0,13595648.0,13289452.0,13289516.0
382,13444872.0,13580772.0,13315944.0,13273788.0
383,13415028.0,13556480.0,13302320.0,13301528.0
384,13465924.0,13595356.0,13342728.0,13293948.0
385,13413464.0,13568492.0,13322560.0,13250360.0
386,13446504.0,13539564.0,13304572.0,13256632.0
387,13426428.0,13576584.0,13341580.0,13300872.0
388,13446988.0,13567268.0,13335060.0,13255816.0
389,13477644.0,13557208.0,13318016.0,13298720.0
390,13446112.0,13581928.0,13352008.0,13278096.0
391,13475656.0,13565016.0,13345224.0,13292440.0
392,13472608.0,13554160.0,13346944.0,13322856.0
393,13484724.0,13581544.0,13366344.0,13264968.0
394,13514992.0,13581776.0,13300788.0,13285716.0
395,13454748.0,13548776.0,13307016.0,13300664.0
396,13462932.0,13598912.0,13352092.0,13273320.0
397,13475532.0,13583552.0,13313740.0,13309952.0
398,13468044.0,13553212.0,13316232.0,13324904.0
399,13458180.0,13564128.0,13339772.0,13298540.0
