kbcommit,client01,client02,client03,client04
377,44563600.0,38407016.0,47679444.0,38936536.0
378,44563600.0,38407016.0,47679444.0,38936536.0
379,44563600.0,38407016.0,47679444.0,38942976.0
380,44578600.0,38407016.0,47679444.0,38942976.0
381,44619424.0,38407016.0,47679444.0,38942976.0
382,44591344.0,38407016.0,47679444.0,38942976.0
383,44591344.0,38407016.0,47679444.0,38942976.0
384,44591344.0,38407016.0,47672840.0,38942976.0
385,44591344.0,38407016.0,47672840.0,38949448.0
386,44591344.0,38407016.0,47672840.0,38949448.0
387,44616536.0,38406916.0,47672840.0,38949448.0
388,44612356.0,38401160.0,47672840.0,38949448.0
389,44612356.0,38401160.0,47666236.0,38949448.0
390,44612356.0,38401160.0,47666236.0,38949448.0
391,44612356.0,38401160.0,47666236.0,38949448.0
392,44599412.0,38401160.0,47666236.0,38949448.0
393,44599412.0,38395336.0,47666236.0,38949448.0
394,44608740.0,38404104.0,47666236.0,38949448.0
395,44594916.0,38404104.0,47672668.0,38942884.0
396,44594916.0,38409740.0,47672668.0,38936160.0
397,44594916.0,38409740.0,47672668.0,38936160.0
398,44555268.0,38409740.0,47680440.0,38936160.0
399,44461936.0,38409740.0,47686920.0,38936160.0
